"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TARMA (000)",44661,698,13932,15087,11436,3508
"Empleado (001)",6798,33,2155,2965,1527,118
"Obrero (002)",6862,71,2558,2287,1548,398
"Trabajador independiente (003)",22137,100,5043,7645,6824,2525
"Empleador o patrono (004)",1087,3,222,412,348,102
"Trabajador familiar no remunerado (005)",5322,442,2667,1134,796,283
"Trabajador del hogar (006)",619,12,305,159,113,30
"Desocupado (008)",1836,37,982,485,280,52
"Hombres (009)",29889,464,9378,9819,7689,2539
"Empleado (010)",3694,22,1111,1571,911,79
"Obrero (011)",5558,57,2092,1844,1239,326
"Trabajador independiente (012)",15842,73,3638,5368,4858,1905
"Empleador o patrono (013)",835,1,160,324,270,80
"Trabajador familiar no remunerado (014)",2733,290,1763,395,186,99
"Trabajador del hogar (015)",37,2,22,4,4,5
"Desocupado (017)",1190,19,592,313,221,45
"Mujeres (018)",14772,234,4554,5268,3747,969
"Empleado (019)",3104,11,1044,1394,616,39
"Obrero (020)",1304,14,466,443,309,72
"Trabajador independiente (021)",6295,27,1405,2277,1966,620
"Empleador o patrono (022)",252,2,62,88,78,22
"Trabajador familiar no remunerado (023)",2589,152,904,739,610,184
"Trabajador del hogar (024)",582,10,283,155,109,25
"Desocupado (026)",646,18,390,172,59,7
,,,,,,
"URBANA (027)",29297,405,8783,10525,7538,2046
"Empleado (028)",6186,30,1933,2708,1406,109
"Obrero (029)",4194,40,1499,1481,971,203
"Trabajador independiente (030)",13728,73,3163,4902,4158,1432
"Empleador o patrono (031)",781,3,158,300,247,73
"Trabajador familiar no remunerado (032)",2412,227,1023,575,422,165
"Trabajador del hogar (033)",517,11,231,146,103,26
"Desocupado (035)",1479,21,776,413,231,38
"Hombres (036)",18361,266,5513,6389,4784,1409
"Empleado (037)",3265,19,962,1397,815,72
"Obrero (038)",3470,35,1249,1211,805,170
"Trabajador independiente (039)",8980,53,2102,3119,2693,1013
"Empleador o patrono (040)",563,1,106,221,180,55
"Trabajador familiar no remunerado (041)",1097,147,610,179,101,60
"Trabajador del hogar (042)",32,2,18,3,4,5
"Desocupado (044)",954,9,466,259,186,34
"Mujeres (045)",10936,139,3270,4136,2754,637
"Empleado (046)",2921,11,971,1311,591,37
"Obrero (047)",724,5,250,270,166,33
"Trabajador independiente (048)",4748,20,1061,1783,1465,419
"Empleador o patrono (049)",218,2,52,79,67,18
"Trabajador familiar no remunerado (050)",1315,80,413,396,321,105
"Trabajador del hogar (051)",485,9,213,143,99,21
"Desocupado (053)",525,12,310,154,45,4
,,,,,,
"RURAL (054)",15364,293,5149,4562,3898,1462
"Empleado (055)",612,3,222,257,121,9
"Obrero (056)",2668,31,1059,806,577,195
"Trabajador independiente (057)",8409,27,1880,2743,2666,1093
"Empleador o patrono (058)",306,,64,112,101,29
"Trabajador familiar no remunerado (059)",2910,215,1644,559,374,118
"Trabajador del hogar (060)",102,1,74,13,10,4
"Desocupado (062)",357,16,206,72,49,14
"Hombres (063)",11528,198,3865,3430,2905,1130
"Empleado (064)",429,3,149,174,96,7
"Obrero (065)",2088,22,843,633,434,156
"Trabajador independiente (066)",6862,20,1536,2249,2165,892
"Empleador o patrono (067)",272,,54,103,90,25
"Trabajador familiar no remunerado (068)",1636,143,1153,216,85,39
"Trabajador del hogar (069)",5,,4,1,,
"Desocupado (071)",236,10,126,54,35,11
"Mujeres (072)",3836,95,1284,1132,993,332
"Empleado (073)",183,,73,83,25,2
"Obrero (074)",580,9,216,173,143,39
"Trabajador independiente (075)",1547,7,344,494,501,201
"Empleador o patrono (076)",34,,10,9,11,4
"Trabajador familiar no remunerado (077)",1274,72,491,343,289,79
"Trabajador del hogar (078)",97,1,70,12,10,4
"Desocupado (080)",121,6,80,18,14,3
