"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONDESUYOS (000)",8408,620,2,2053,3129,617,1025,298,664
"Empleado (001)",1213,9,,55,246,123,343,61,376
"Obrero (002)",3116,134,,657,1441,244,398,114,128
"Trabajador independiente (003)",3185,303,,1005,1186,212,236,103,140
"Empleador o patrono (004)",82,7,1,30,24,4,6,3,7
"Trabajador familiar no remunerado (005)",760,165,1,288,211,31,36,16,12
"Trabajador del hogar (006)",52,2,,18,21,3,6,1,1
"Hombres (008)",6179,216,2,1358,2620,482,741,254,506
"Empleado (009)",744,,,28,174,76,176,44,246
"Obrero (010)",2789,82,,517,1362,226,369,108,125
"Trabajador independiente (011)",2286,105,,680,955,156,177,92,121
"Empleador o patrono (012)",61,2,1,21,20,3,5,3,6
"Trabajador familiar no remunerado (013)",290,26,1,108,108,21,12,7,7
"Trabajador del hogar (014)",9,1,,4,1,,2,,1
"Mujeres (016)",2229,404,,695,509,135,284,44,158
"Empleado (017)",469,9,,27,72,47,167,17,130
"Obrero (018)",327,52,,140,79,18,29,6,3
"Trabajador independiente (019)",899,198,,325,231,56,59,11,19
"Empleador o patrono (020)",21,5,,9,4,1,1,,1
"Trabajador familiar no remunerado (021)",470,139,,180,103,10,24,9,5
"Trabajador del hogar (022)",43,1,,14,20,3,4,1,
,,,,,,,,,
"URBANA (024)",3219,217,,675,1092,269,519,118,329
"Empleado (025)",758,5,,37,158,69,233,36,220
"Obrero (026)",1069,65,,247,471,84,140,31,31
"Trabajador independiente (027)",1043,99,,277,354,98,112,39,64
"Empleador o patrono (028)",32,2,,9,7,1,6,3,4
"Trabajador familiar no remunerado (029)",279,45,,92,88,15,22,8,9
"Trabajador del hogar (030)",38,1,,13,14,2,6,1,1
"Hombres (032)",2102,77,,409,830,175,314,88,209
"Empleado (033)",407,,,17,107,34,106,22,121
"Obrero (034)",919,41,,185,439,75,121,28,30
"Trabajador independiente (035)",649,32,,165,241,56,75,32,48
"Empleador o patrono (036)",22,,,5,5,,5,3,4
"Trabajador familiar no remunerado (037)",98,4,,34,37,10,5,3,5
"Trabajador del hogar (038)",7,,,3,1,,2,,1
"Mujeres (040)",1117,140,,266,262,94,205,30,120
"Empleado (041)",351,5,,20,51,35,127,14,99
"Obrero (042)",150,24,,62,32,9,19,3,1
"Trabajador independiente (043)",394,67,,112,113,42,37,7,16
"Empleador o patrono (044)",10,2,,4,2,1,1,,
"Trabajador familiar no remunerado (045)",181,41,,58,51,5,17,5,4
"Trabajador del hogar (046)",31,1,,10,13,2,4,1,
,,,,,,,,,
"RURAL (048)",5189,403,2,1378,2037,348,506,180,335
"Empleado (049)",455,4,,18,88,54,110,25,156
"Obrero (050)",2047,69,,410,970,160,258,83,97
"Trabajador independiente (051)",2142,204,,728,832,114,124,64,76
"Empleador o patrono (052)",50,5,1,21,17,3,,,3
"Trabajador familiar no remunerado (053)",481,120,1,196,123,16,14,8,3
"Trabajador del hogar (054)",14,1,,5,7,1,,,
"Hombres (056)",4077,139,2,949,1790,307,427,166,297
"Empleado (057)",337,,,11,67,42,70,22,125
"Obrero (058)",1870,41,,332,923,151,248,80,95
"Trabajador independiente (059)",1637,73,,515,714,100,102,60,73
"Empleador o patrono (060)",39,2,1,16,15,3,,,2
"Trabajador familiar no remunerado (061)",192,22,1,74,71,11,7,4,2
"Trabajador del hogar (062)",2,1,,1,,,,,
"Mujeres (064)",1112,264,,429,247,41,79,14,38
"Empleado (065)",118,4,,7,21,12,40,3,31
"Obrero (066)",177,28,,78,47,9,10,3,2
"Trabajador independiente (067)",505,131,,213,118,14,22,4,3
"Empleador o patrono (068)",11,3,,5,2,,,,1
"Trabajador familiar no remunerado (069)",289,98,,122,52,5,7,4,1
"Trabajador del hogar (070)",12,,,4,7,1,,,
