"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHEPEN (000)",208,207,1
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",72,72,
"Hospital, clinica (004)",43,43,
"Cárcel, centro de readaptación social (005)",26,26,
"Aldea infantil, orfelinato, etc (007)",4,4,
"Otro (008)",56,55,1
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",7,7,
