"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia BOLOGNESI (000)",13198,10945,2253
"De 3 a 5 años (001)",1908,184,1724
"De 6 a 11 años (002)",4092,3691,401
"De 12 a 16 años (003)",3317,3268,49
"De 17 a 24 años (004)",3881,3802,79
"Hombres (005)",6850,5704,1146
"De 3 a 5 años (006)",963,96,867
"De 6 a 11 años (007)",2094,1875,219
"De 12 a 16 años (008)",1729,1701,28
"De 17 a 24 años (009)",2064,2032,32
"Mujeres (010)",6348,5241,1107
"De 3 a 5 años (011)",945,88,857
"De 6 a 11 años (012)",1998,1816,182
"De 12 a 16 años (013)",1588,1567,21
"De 17 a 24 años (014)",1817,1770,47
,,,
"URBANA (015)",8422,7145,1277
"De 3 a 5 años (016)",1154,123,1031
"De 6 a 11 años (017)",2564,2355,209
"De 12 a 16 años (018)",2245,2236,9
"De 17 a 24 años (019)",2459,2431,28
"Hombres (020)",4362,3697,665
"De 3 a 5 años (021)",604,66,538
"De 6 a 11 años (022)",1308,1197,111
"De 12 a 16 años (023)",1160,1156,4
"De 17 a 24 años (024)",1290,1278,12
"Mujeres (025)",4060,3448,612
"De 3 a 5 años (026)",550,57,493
"De 6 a 11 años (027)",1256,1158,98
"De 12 a 16 años (028)",1085,1080,5
"De 17 a 24 años (029)",1169,1153,16
,,,
"RURAL (030)",4776,3800,976
"De 3 a 5 años (031)",754,61,693
"De 6 a 11 años (032)",1528,1336,192
"De 12 a 16 años (033)",1072,1032,40
"De 17 a 24 años (034)",1422,1371,51
"Hombres (035)",2488,2007,481
"De 3 a 5 años (036)",359,30,329
"De 6 a 11 años (037)",786,678,108
"De 12 a 16 años (038)",569,545,24
"De 17 a 24 años (039)",774,754,20
"Mujeres (040)",2288,1793,495
"De 3 a 5 años (041)",395,31,364
"De 6 a 11 años (042)",742,658,84
"De 12 a 16 años (043)",503,487,16
"De 17 a 24 años (044)",648,617,31
