"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia JAUJA (000)",25837,196,8928,9538,3134,1056,447,152,28,,2358
"Sin Nivel (001)",3577,58,1361,1200,356,136,68,44,4,,350
"Educación Inicial (002)",16,1,9,2,,1,,,,,3
"Primaria (003)",9621,88,4008,3461,944,313,162,60,14,,571
"Secundaria (004)",7513,38,2886,2916,744,208,89,23,5,,604
"Sup. no Univ. Incompleta (005)",1077,,195,478,172,44,8,4,1,,175
"Sup. no Univ. Completa (006)",2012,5,254,815,437,136,51,6,1,,307
"Sup. Univ. Incompleta (007)",560,,79,210,106,33,10,4,,,118
"Sup. Univ. Completa (008)",1461,6,136,456,375,185,59,11,3,,230
,,,,,,,,,,,
"URBANA (010)",18273,129,5849,6794,2448,836,357,129,23,,1708
"Sin Nivel (011)",2262,39,832,746,227,90,54,35,4,,235
"Educación Inicial (012)",13,,8,2,,,,,,,3
"Primaria (013)",5715,53,2280,2070,615,213,112,48,11,,313
"Secundaria (014)",5612,26,2125,2169,600,171,73,21,4,,423
"Sup. no Univ. Incompleta (015)",966,,178,431,157,42,8,4,1,,145
"Sup. no Univ. Completa (016)",1842,5,233,755,402,120,47,6,1,,273
"Sup. Univ. Incompleta (017)",512,,75,196,94,28,7,4,,,108
"Sup. Univ. Completa (018)",1351,6,118,425,353,172,56,11,2,,208
,,,,,,,,,,,
"RURAL (020)",7564,67,3079,2744,686,220,90,23,5,,650
"Sin Nivel (021)",1315,19,529,454,129,46,14,9,,,115
"Educación Inicial (022)",3,1,1,,,1,,,,,
"Primaria (023)",3906,35,1728,1391,329,100,50,12,3,,258
"Secundaria (024)",1901,12,761,747,144,37,16,2,1,,181
"Sup. no Univ. Incompleta (025)",111,,17,47,15,2,,,,,30
"Sup. no Univ. Completa (026)",170,,21,60,35,16,4,,,,34
"Sup. Univ. Incompleta (027)",48,,4,14,12,5,3,,,,10
"Sup. Univ. Completa (028)",110,,18,31,22,13,3,,1,,22
