"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CANGALLO (000)",13091,12761,3483,1484,1363,1115,1900,1501,1915,330
"Católica (001)",9316,9041,2539,1115,1017,797,1323,1001,1249,275
"Cristiana/Evangélica (002)",3543,3497,872,341,322,305,544,482,631,46
"Otra (003)",102,97,21,12,6,7,16,10,25,5
"Ninguna (004)",130,126,51,16,18,6,17,8,10,4
,,,,,,,,,,
"URBANA (006)",4591,4449,1280,539,520,417,678,451,564,142
"Católica (007)",3424,3306,990,430,403,310,488,327,358,118
"Cristiana/Evangélica (008)",1016,998,242,91,100,101,164,114,186,18
"Otra (009)",69,64,13,6,5,4,14,7,15,5
"Ninguna (010)",82,81,35,12,12,2,12,3,5,1
,,,,,,,,,,
"RURAL (012)",8500,8312,2203,945,843,698,1222,1050,1351,188
"Católica (013)",5892,5735,1549,685,614,487,835,674,891,157
"Cristiana/Evangélica (014)",2527,2499,630,250,222,204,380,368,445,28
"Otra (015)",33,33,8,6,1,3,2,3,10,
"Ninguna (016)",48,45,16,4,6,4,5,5,5,3
