"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia QUISPICANCHI",,,,,,,
"Viviendas particulares (001)",19502,1850,1102,336,13448,1656,1110
"Ocupantes presentes (002)",80362,7028,4708,1407,56161,6338,4720
"Casa independiente",,,,,,,
"Viviendas particulares (004)",17574,1755,971,307,12215,1304,1022
"Ocupantes presentes (005)",72953,6745,4195,1317,51303,5004,4389
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",22,7,,1,14,,
"Ocupantes presentes (008)",86,21,,6,59,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",33,15,,4,12,,2
"Ocupantes presentes (011)",105,38,,4,54,,9
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",66,35,,2,25,2,2
"Ocupantes presentes (014)",246,127,,5,105,2,7
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",1738,15,130,22,1155,336,80
"Ocupantes presentes (017)",6812,46,510,75,4578,1296,307
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",7,5,1,,1,,
"Ocupantes presentes (020)",19,12,3,,4,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",23,10,,,4,7,2
"Ocupantes presentes (023)",64,29,,,16,13,6
"Otro tipo",,,,,,,
"Viviendas particulares (025)",39,8,,,22,7,2
"Ocupantes presentes (026)",77,10,,,42,23,2
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",6844,1428,381,170,4298,189,378
"Ocupantes presentes (029)",27768,5489,1631,699,17729,662,1558
"Casa independiente",,,,,,,
"Viviendas particulares (031)",6701,1358,380,163,4243,184,373
"Ocupantes presentes (032)",27274,5271,1628,684,17497,655,1539
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",22,7,,1,14,,
"Ocupantes presentes (035)",86,21,,6,59,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",33,15,,4,12,,2
"Ocupantes presentes (038)",105,38,,4,54,,9
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",66,35,,2,25,2,2
"Ocupantes presentes (041)",246,127,,5,105,2,7
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",7,5,1,,1,,
"Ocupantes presentes (047)",19,12,3,,4,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",14,7,,,3,3,1
"Ocupantes presentes (050)",37,19,,,10,5,3
"Otro tipo",,,,,,,
"Viviendas particulares (052)",1,1,,,,,
"Ocupantes presentes (053)",1,1,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",12658,422,721,166,9150,1467,732
"Ocupantes presentes (056)",52594,1539,3077,708,38432,5676,3162
"Casa independiente",,,,,,,
"Viviendas particulares (058)",10873,397,591,144,7972,1120,649
"Ocupantes presentes (059)",45679,1474,2567,633,33806,4349,2850
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",1738,15,130,22,1155,336,80
"Ocupantes presentes (071)",6812,46,510,75,4578,1296,307
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",9,3,,,1,4,1
"Ocupantes presentes (077)",27,10,,,6,8,3
"Otro tipo",,,,,,,
"Viviendas particulares (079)",38,7,,,22,7,2
"Ocupantes presentes (080)",76,9,,,42,23,2
