"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia AMBO (000)",13643,13157,39,2228,2226,1958,3136,2025,1172,373,486,53326
"De 12 a 14 años (001)",15,8,2,6,,,,,,,7,6
"De 15 a 19 años (002)",361,338,3,282,43,5,5,,,,23,403
"De 20 a 24 años (003)",1311,1159,7,682,356,96,16,2,,,152,1765
"De 25 a 29 años (004)",1636,1508,6,484,559,299,150,9,1,,128,3195
"De 30 a 34 años (005)",1640,1572,1,250,419,418,391,81,12,,68,4643
"De 35 a 39 años (006)",1605,1569,4,149,261,355,548,199,46,7,36,5893
"De 40 a 44 años (007)",1387,1373,2,70,171,215,478,302,118,17,14,6322
"De 45 a 49 años (008)",1222,1205,2,72,120,149,372,275,170,45,17,6083
"De 50 y más años (009)",4466,4425,12,233,297,421,1176,1157,825,304,41,25016
"PEA (010)",2310,2139,7,461,438,348,463,250,134,38,171,7558
"De 12 a 14 años (011)",1,1,,1,,,,,,,,1
"De 15 a 19 años (012)",50,43,1,37,4,1,,,,,7,48
"De 20 a 24 años (013)",223,173,3,107,44,17,2,,,,50,256
"De 25 a 29 años (014)",281,233,2,91,85,40,15,,,,48,443
"De 30 a 34 años (015)",323,289,,81,85,60,51,11,1,,34,729
"De 35 a 39 años (016)",323,315,,59,79,58,87,28,4,,8,989
"De 40 a 44 años (017)",290,284,,30,46,56,86,45,16,5,6,1144
"De 45 a 49 años (018)",245,236,,20,38,53,64,41,19,1,9,973
"De 50 y más años (019)",574,565,1,35,57,63,158,125,94,32,9,2975
"Ocupada (020)",2229,2083,7,443,422,342,450,247,134,38,146,7413
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",47,40,1,35,4,,,,,,7,43
