"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia VILCAS HUAMAN (000)",6650,104,2802,2036,629,211,95,48,9,,716
"Catolica (001)",5668,89,2367,1734,549,184,89,44,7,,605
"Cristiana / Evangelica (002)",864,14,386,265,73,21,6,4,2,,93
"Otra (003)",34,,13,8,4,1,,,,,8
"Ninguna (004)",84,1,36,29,3,5,,,,,10
,,,,,,,,,,,
"URBANA (006)",2137,28,804,588,238,86,39,20,5,,329
"Catolica (007)",1771,23,653,486,205,73,35,18,4,,274
"Cristiana / Evangelica (008)",323,5,136,91,28,10,4,2,1,,46
"Otra (009)",10,,2,2,2,1,,,,,3
"Ninguna (010)",33,,13,9,3,2,,,,,6
,,,,,,,,,,,
"RURAL (012)",4513,76,1998,1448,391,125,56,28,4,,387
"Catolica (013)",3897,66,1714,1248,344,111,54,26,3,,331
"Cristiana / Evangelica (014)",541,9,250,174,45,11,2,2,1,,47
"Otra (015)",24,,11,6,2,,,,,,5
"Ninguna (016)",51,1,23,20,,3,,,,,4
