"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ABANCAY (000)",84364,27768,14051,2483,40279
"Hombres (001)",41618,12490,6779,1363,21107
"Mujeres (002)",42746,15278,7272,1120,19172
"PEA (003)",33077,5195,6893,1172,19938
"Hombres (004)",21104,3171,3565,776,13674
"Mujeres (005)",11973,2024,3328,396,6264
"Ocupada (006)",31552,5013,6739,1139,18779
"Hombres (007)",20119,3058,3490,760,12890
"Mujeres (008)",11433,1955,3249,379,5889
"Desocupada (009)",1525,182,154,33,1159
"Hombres (010)",985,113,75,16,784
"Mujeres (011)",540,69,79,17,375
"No PEA (012)",51287,22573,7158,1311,20341
"Hombres (013)",20514,9319,3214,587,7433
"Mujeres (014)",30773,13254,3944,724,12908
,,,,,
"URBANA (018)",53976,12347,13377,2212,26220
"Hombres (019)",26106,5420,6426,1226,13139
"Mujeres (020)",27870,6927,6951,986,13081
"PEA (021)",23293,2540,6566,1099,13199
"Hombres (022)",13242,1202,3351,718,8045
"Mujeres (023)",10051,1338,3215,381,5154
"Ocupada (024)",22085,2436,6415,1067,12275
"Hombres (025)",12529,1146,3279,703,7472
"Mujeres (026)",9556,1290,3136,364,4803
"Desocupada (027)",1208,104,151,32,924
"Hombres (028)",713,56,72,15,573
"Mujeres (029)",495,48,79,17,351
"No PEA (030)",30683,9807,6811,1113,13021
"Hombres (031)",12864,4218,3075,508,5094
"Mujeres (032)",17819,5589,3736,605,7927
,,,,,
"RURAL (036)",30388,15421,674,271,14059
"Hombres (037)",15512,7070,353,137,7968
"Mujeres (038)",14876,8351,321,134,6091
"PEA (039)",9784,2655,327,73,6739
"Hombres (040)",7862,1969,214,58,5629
"Mujeres (041)",1922,686,113,15,1110
"Ocupada (042)",9467,2577,324,72,6504
"Hombres (043)",7590,1912,211,57,5418
"Mujeres (044)",1877,665,113,15,1086
"Desocupada (045)",317,78,3,1,235
"Hombres (046)",272,57,3,1,211
"Mujeres (047)",45,21,,,24
"No PEA (048)",20604,12766,347,198,7320
"Hombres (049)",7650,5101,139,79,2339
"Mujeres (050)",12954,7665,208,119,4981
