"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUARI (000)",22082,70847,61853,,1084,87.3,1.5
"De 12 a 14 años (001)",2409,14,14,,,100,
"De 15 a 19 años (002)",2931,352,346,109,98.3,31,
"De 20 a 24 años (003)",2231,1932,1878,278,97.2,14.4,
"De 25 a 29 años (004)",1900,3436,3341,246,97.2,7.2,
"De 30 a 34 años (005)",1608,4722,4519,193,95.7,4.1,
"De 35 a 39 años (006)",1793,7060,6688,172,94.7,2.4,
"De 40 a 44 años (007)",1563,7671,7123,72,92.9,0.9,
"De 45 a 49 años (008)",1350,7457,6747,14,90.5,0.2,
"De 50 y más años (009)",6297,38203,31197,,81.7,,
"PEA (010)",3017,7928,7231,104,91.2,1.3,
"De 12 a 14 años (011)",25,,,,,,
"De 15 a 19 años (012)",189,22,22,8,100,36.4,
"De 20 a 24 años (013)",402,180,173,18,96.1,10,
"De 25 a 29 años (014)",437,430,429,27,99.8,6.3,
"De 30 a 34 años (015)",384,778,759,26,97.6,3.3,
"De 35 a 39 años (016)",406,1121,1087,16,97,1.4,
"De 40 a 44 años (017)",311,1120,1047,8,93.5,0.7,
"De 45 a 49 años (018)",256,1062,995,1,93.7,0.1,
"De 50 y más años (019)",607,3215,2719,,84.6,,
"Ocupada (020)",2830,7713,7029,100,91.1,1.3,
"De 12 a 14 años (021)",17,,,,,,
"De 15 a 19 años (022)",156,20,20,7,100,35,
"De 20 a 24 años (023)",352,163,156,17,95.7,10.4,
"De 25 a 29 años (024)",398,407,406,27,99.8,6.6,
"De 30 a 34 años (025)",365,747,728,25,97.5,3.3,
"De 35 a 39 años (026)",389,1078,1044,15,96.8,1.4,
"De 40 a 44 años (027)",303,1092,1021,8,93.5,0.7,
"De 45 a 49 años (028)",255,1057,990,1,93.7,0.1,
"De 50 y más años (029)",595,3149,2664,,84.6,,
"Desocupada (030)",187,215,202,4,94,1.9,
"De 12 a 14 años (031)",8,,,,,,
"De 15 a 19 años (032)",33,2,2,1,100,50,
"De 20 a 24 años (033)",50,17,17,1,100,5.9,
"De 25 a 29 años (034)",39,23,23,,100,,
"De 30 a 34 años (035)",19,31,31,1,100,3.2,
"De 35 a 39 años (036)",17,43,43,1,100,2.3,
"De 40 a 44 años (037)",8,28,26,,92.9,,
