"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUAMALIES (000)",66022,1372,25571,15543,11160,8513,3863
"Jefe o Jefa (001)",15779,,36,2784,5381,5201,2377
"Esposa(o) / compañera(o) (002)",9915,,27,2742,3894,2565,687
"Hijo(a) / hijastro(a) (003)",31276,1046,21326,7620,1067,212,5
"Yerno / nuera (004)",568,,12,412,128,13,3
"Nieto(a) (005)",3281,247,2660,361,13,,
"Padres / suegros (006)",770,,,1,9,168,592
"Otro(a) pariente (007)",3185,66,1326,1054,364,218,157
"Trabajador(a) del hogar (008)",151,,14,83,28,19,7
"Pensionistas (009)",64,,2,20,35,7,
"Otro(a) no pariente (010)",1033,13,168,466,241,110,35
"Hombres (011)",33377,693,13086,7939,5468,4356,1835
"Jefe o Jefa (012)",11689,,21,2102,4184,3855,1527
"Esposa(o) / compañera(o) (013)",503,,15,139,206,96,47
"Hijo(a) / hijastro(a) (014)",16428,528,10897,4326,561,114,2
"Yerno / nuera (015)",252,,4,166,71,8,3
"Nieto(a) (016)",1699,127,1369,194,9,,
"Padres / suegros (017)",228,,,,4,47,177
"Otro(a) pariente (018)",1797,32,680,661,237,128,59
"Trabajador(a) del hogar (019)",87,,8,38,23,13,5
"Pensionistas (020)",46,,,14,25,7,
"Otro(a) no pariente (021)",648,6,92,299,148,88,15
"Mujeres (022)",32645,679,12485,7604,5692,4157,2028
"Jefe o Jefa (023)",4090,,15,682,1197,1346,850
"Esposa(o) / compañera(o) (024)",9412,,12,2603,3688,2469,640
"Hijo(a) / hijastro(a) (025)",14848,518,10429,3294,506,98,3
"Yerno / nuera (026)",316,,8,246,57,5,
"Nieto(a) (027)",1582,120,1291,167,4,,
"Padres / suegros (028)",542,,,1,5,121,415
"Otro(a) pariente (029)",1388,34,646,393,127,90,98
"Trabajador(a) del hogar (030)",64,,6,45,5,6,2
"Pensionistas (031)",18,,2,6,10,,
"Otro(a) no pariente (032)",385,7,76,167,93,22,20
,,,,,,,
"URBANA (033)",18272,363,6888,4158,3319,2413,1131
"Jefe o Jefa (034)",4522,,12,706,1656,1497,651
"Esposa(o) / compañera(o) (035)",2747,,17,665,1163,708,194
"Hijo(a) / hijastro(a) (036)",8289,278,5659,2076,231,43,2
"Yerno / nuera (037)",185,,3,128,45,7,2
"Nieto(a) (038)",943,67,771,102,3,,
"Padres / suegros (039)",262,,,,3,48,211
"Otro(a) pariente (040)",867,14,367,278,96,61,51
"Trabajador(a) del hogar (041)",65,,10,40,7,7,1
"Pensionistas (042)",17,,2,5,9,1,
"Otro(a) no pariente (043)",375,4,47,158,106,41,19
"Hombres (044)",8929,191,3514,1969,1540,1202,513
"Jefe o Jefa (045)",3157,,5,461,1202,1066,423
"Esposa(o) / compañera(o) (046)",196,,10,59,79,32,16
"Hijo(a) / hijastro(a) (047)",4280,148,2890,1111,113,17,1
"Yerno / nuera (048)",71,,,37,25,7,2
"Nieto(a) (049)",492,34,401,55,2,,
"Padres / suegros (050)",59,,,,,9,50
"Otro(a) pariente (051)",460,7,183,157,57,38,18
"Trabajador(a) del hogar (052)",25,,4,11,5,5,
"Pensionistas (053)",9,,,2,6,1,
"Otro(a) no pariente (054)",180,2,21,76,51,27,3
"Mujeres (055)",9343,172,3374,2189,1779,1211,618
"Jefe o Jefa (056)",1365,,7,245,454,431,228
"Esposa(o) / compañera(o) (057)",2551,,7,606,1084,676,178
"Hijo(a) / hijastro(a) (058)",4009,130,2769,965,118,26,1
"Yerno / nuera (059)",114,,3,91,20,,
"Nieto(a) (060)",451,33,370,47,1,,
"Padres / suegros (061)",203,,,,3,39,161
"Otro(a) pariente (062)",407,7,184,121,39,23,33
"Trabajador(a) del hogar (063)",40,,6,29,2,2,1
"Pensionistas (064)",8,,2,3,3,,
"Otro(a) no pariente (065)",195,2,26,82,55,14,16
,,,,,,,
"RURAL (066)",47750,1009,18683,11385,7841,6100,2732
"Jefe o Jefa (067)",11257,,24,2078,3725,3704,1726
"Esposa(o) / compañera(o) (068)",7168,,10,2077,2731,1857,493
"Hijo(a) / hijastro(a) (069)",22987,768,15667,5544,836,169,3
"Yerno / nuera (070)",383,,9,284,83,6,1
"Nieto(a) (071)",2338,180,1889,259,10,,
"Padres / suegros (072)",508,,,1,6,120,381
"Otro(a) pariente (073)",2318,52,959,776,268,157,106
"Trabajador(a) del hogar (074)",86,,4,43,21,12,6
"Pensionistas (075)",47,,,15,26,6,
"Otro(a) no pariente (076)",658,9,121,308,135,69,16
"Hombres (077)",24448,502,9572,5970,3928,3154,1322
"Jefe o Jefa (078)",8532,,16,1641,2982,2789,1104
"Esposa(o) / compañera(o) (079)",307,,5,80,127,64,31
"Hijo(a) / hijastro(a) (080)",12148,380,8007,3215,448,97,1
"Yerno / nuera (081)",181,,4,129,46,1,1
"Nieto(a) (082)",1207,93,968,139,7,,
"Padres / suegros (083)",169,,,,4,38,127
"Otro(a) pariente (084)",1337,25,497,504,180,90,41
"Trabajador(a) del hogar (085)",62,,4,27,18,8,5
"Pensionistas (086)",37,,,12,19,6,
"Otro(a) no pariente (087)",468,4,71,223,97,61,12
"Mujeres (088)",23302,507,9111,5415,3913,2946,1410
"Jefe o Jefa (089)",2725,,8,437,743,915,622
"Esposa(o) / compañera(o) (090)",6861,,5,1997,2604,1793,462
"Hijo(a) / hijastro(a) (091)",10839,388,7660,2329,388,72,2
"Yerno / nuera (092)",202,,5,155,37,5,
"Nieto(a) (093)",1131,87,921,120,3,,
"Padres / suegros (094)",339,,,1,2,82,254
"Otro(a) pariente (095)",981,27,462,272,88,67,65
"Trabajador(a) del hogar (096)",24,,,16,3,4,1
"Pensionistas (097)",10,,,3,7,,
