"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia AZANGARO (000)",119679,17738,7300,1144,93569
"Hombres (001)",57855,8319,3806,700,45076
"Mujeres (002)",61824,9419,3494,444,48493
"PEA (003)",43712,2415,3264,518,37549
"Hombres (004)",26676,1182,2097,391,23030
"Mujeres (005)",17036,1233,1167,127,14519
"Ocupada (006)",39030,2288,3183,492,33101
"Hombres (007)",23145,1097,2048,376,19648
"Mujeres (008)",15885,1191,1135,116,13453
"Desocupada (009)",4682,127,81,26,4448
"Hombres (010)",3531,85,49,15,3382
"Mujeres (011)",1151,42,32,11,1066
"No PEA (012)",75967,15323,4036,626,56020
"Hombres (013)",31179,7137,1709,309,22046
"Mujeres (014)",44788,8186,2327,317,33974
,,,,,
"URBANA (018)",32920,3772,5147,625,23407
"Hombres (019)",16324,1776,2651,411,11511
"Mujeres (020)",16596,1996,2496,214,11896
"PEA (021)",11178,569,2398,325,7904
"Hombres (022)",6966,283,1470,264,4965
"Mujeres (023)",4212,286,928,61,2939
"Ocupada (024)",9738,517,2346,306,6587
"Hombres (025)",5909,253,1443,251,3978
"Mujeres (026)",3829,264,903,55,2609
"Desocupada (027)",1440,52,52,19,1317
"Hombres (028)",1057,30,27,13,987
"Mujeres (029)",383,22,25,6,330
"No PEA (030)",21742,3203,2749,300,15503
"Hombres (031)",9358,1493,1181,147,6546
"Mujeres (032)",12384,1710,1568,153,8957
,,,,,
"RURAL (036)",86759,13966,2153,519,70162
"Hombres (037)",41531,6543,1155,289,33565
"Mujeres (038)",45228,7423,998,230,36597
"PEA (039)",32534,1846,866,193,29645
"Hombres (040)",19710,899,627,127,18065
"Mujeres (041)",12824,947,239,66,11580
"Ocupada (042)",29292,1771,837,186,26514
"Hombres (043)",17236,844,605,125,15670
"Mujeres (044)",12056,927,232,61,10844
"Desocupada (045)",3242,75,29,7,3131
"Hombres (046)",2474,55,22,2,2395
"Mujeres (047)",768,20,7,5,736
"No PEA (048)",54225,12120,1287,326,40517
"Hombres (049)",21821,5644,528,162,15500
"Mujeres (050)",32404,6476,759,164,25017
