"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",16469,258,5757,5851,3424,1179
"Empleado (001)",2343,4,692,1152,467,28
"Obrero (002)",4087,19,1692,1632,665,79
"Trabajador independiente (003)",6874,41,1645,2355,1908,925
"Empleador o patrono (004)",96,,19,33,28,16
"Trabajador familiar no remunerado (005)",1706,156,1004,288,183,75
"Trabajador del hogar (006)",315,12,147,87,46,23
"Desocupado (008)",1048,26,558,304,127,33
"Hombres (009)",13569,198,4709,4813,2839,1010
"Empleado (010)",1588,1,433,792,339,23
"Obrero (011)",3846,19,1574,1564,629,60
"Trabajador independiente (012)",5890,37,1404,1986,1625,838
"Empleador o patrono (013)",82,,15,30,22,15
"Trabajador familiar no remunerado (014)",1269,121,828,173,104,43
"Trabajador del hogar (015)",12,1,6,3,2,
"Desocupado (017)",882,19,449,265,118,31
"Mujeres (018)",2900,60,1048,1038,585,169
"Empleado (019)",755,3,259,360,128,5
"Obrero (020)",241,,118,68,36,19
"Trabajador independiente (021)",984,4,241,369,283,87
"Empleador o patrono (022)",14,,4,3,6,1
"Trabajador familiar no remunerado (023)",437,35,176,115,79,32
"Trabajador del hogar (024)",303,11,141,84,44,23
"Desocupado (026)",166,7,109,39,9,2
,,,,,,
"URBANA (027)",5799,63,1859,2295,1285,297
"Empleado (028)",1557,3,439,742,352,21
"Obrero (029)",1680,11,643,691,294,41
"Trabajador independiente (030)",1603,13,329,577,497,187
"Empleador o patrono (031)",25,,4,10,9,2
"Trabajador familiar no remunerado (032)",259,24,96,62,52,25
"Trabajador del hogar (033)",137,7,70,45,12,3
"Desocupado (035)",538,5,278,168,69,18
"Hombres (036)",4105,43,1328,1592,918,224
"Empleado (037)",925,1,232,438,237,17
"Obrero (038)",1565,11,595,653,273,33
"Trabajador independiente (039)",991,10,205,326,310,140
"Empleador o patrono (040)",20,,4,9,5,2
"Trabajador familiar no remunerado (041)",143,16,63,22,26,16
"Trabajador del hogar (042)",7,1,3,2,1,
"Desocupado (044)",454,4,226,142,66,16
"Mujeres (045)",1694,20,531,703,367,73
"Empleado (046)",632,2,207,304,115,4
"Obrero (047)",115,,48,38,21,8
"Trabajador independiente (048)",612,3,124,251,187,47
"Empleador o patrono (049)",5,,,1,4,
"Trabajador familiar no remunerado (050)",116,8,33,40,26,9
"Trabajador del hogar (051)",130,6,67,43,11,3
"Desocupado (053)",84,1,52,26,3,2
,,,,,,
"RURAL (054)",10670,195,3898,3556,2139,882
"Empleado (055)",786,1,253,410,115,7
"Obrero (056)",2407,8,1049,941,371,38
"Trabajador independiente (057)",5271,28,1316,1778,1411,738
"Empleador o patrono (058)",71,,15,23,19,14
"Trabajador familiar no remunerado (059)",1447,132,908,226,131,50
"Trabajador del hogar (060)",178,5,77,42,34,20
"Desocupado (062)",510,21,280,136,58,15
"Hombres (063)",9464,155,3381,3221,1921,786
"Empleado (064)",663,,201,354,102,6
"Obrero (065)",2281,8,979,911,356,27
"Trabajador independiente (066)",4899,27,1199,1660,1315,698
"Empleador o patrono (067)",62,,11,21,17,13
"Trabajador familiar no remunerado (068)",1126,105,765,151,78,27
"Trabajador del hogar (069)",5,,3,1,1,
"Desocupado (071)",428,15,223,123,52,15
"Mujeres (072)",1206,40,517,335,218,96
"Empleado (073)",123,1,52,56,13,1
"Obrero (074)",126,,70,30,15,11
"Trabajador independiente (075)",372,1,117,118,96,40
"Empleador o patrono (076)",9,,4,2,2,1
"Trabajador familiar no remunerado (077)",321,27,143,75,53,23
"Trabajador del hogar (078)",173,5,74,41,33,20
"Desocupado (080)",82,6,57,13,6,
