"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ACOMAYO (000)",7198,81,2697,2380,722,240,110,53,8,,907
"Catolica (001)",6348,70,2315,2098,669,219,102,50,7,,818
"Cristiana / Evangelica (002)",701,9,307,239,48,17,3,3,1,,74
"Otra (003)",93,,49,29,3,3,2,,,,7
"Ninguna (004)",56,2,26,14,2,1,3,,,,8
,,,,,,,,,,,
"URBANA (006)",3930,42,1374,1256,442,168,86,36,7,,519
"Catolica (007)",3563,40,1225,1128,416,156,81,34,6,,477
"Cristiana / Evangelica (008)",274,2,105,100,22,8,2,2,1,,32
"Otra (009)",65,,33,20,2,3,2,,,,5
"Ninguna (010)",28,,11,8,2,1,1,,,,5
,,,,,,,,,,,
"RURAL (012)",3268,39,1323,1124,280,72,24,17,1,,388
"Catolica (013)",2785,30,1090,970,253,63,21,16,1,,341
"Cristiana / Evangelica (014)",427,7,202,139,26,9,1,1,,,42
"Otra (015)",28,,16,9,1,,,,,,2
"Ninguna (016)",28,2,15,6,,,2,,,,3
