"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHICLAYO (000)",715922,64716,19918,205785,242080,36522,52344,38687,55870
"Quechua (001)",1703,197,19,553,594,102,98,43,97
"Aymara (002)",268,39,11,87,82,22,10,9,8
"Ashaninca (003)",82,6,3,36,21,,6,5,5
"Otra lengua nativa (004)",954,73,31,266,345,51,75,42,71
"Castellano (005)",712009,63914,19822,204698,240941,36331,52128,38566,55609
"Idioma extranjero (006)",163,12,4,9,32,8,14,12,72
"Es sordomudo/a (007)",743,475,28,136,65,8,13,10,8
"Hombres (009)",344266,25354,10085,96139,124614,17331,22433,20219,28091
"Quechua (010)",811,52,9,240,316,58,54,25,57
"Aymara (011)",138,15,4,44,44,12,7,6,6
"Ashaninca (012)",33,1,2,13,11,,3,1,2
"Otra lengua nativa (013)",482,30,15,121,192,29,34,28,33
"Castellano (014)",342301,25001,10036,95637,123998,17223,22317,20145,27944
"Idioma extranjero (015)",96,7,2,4,13,5,12,9,44
"Es sordomudo/a (016)",405,248,17,80,40,4,6,5,5
"Mujeres (018)",371656,39362,9833,109646,117466,19191,29911,18468,27779
"Quechua (019)",892,145,10,313,278,44,44,18,40
"Aymara (020)",130,24,7,43,38,10,3,3,2
"Ashaninca (021)",49,5,1,23,10,,3,4,3
"Otra lengua nativa (022)",472,43,16,145,153,22,41,14,38
"Castellano (023)",369708,38913,9786,109061,116943,19108,29811,18421,27665
"Idioma extranjero (024)",67,5,2,5,19,3,2,3,28
"Es sordomudo/a (025)",338,227,11,56,25,4,7,5,3
,,,,,,,,,
"URBANA (027)",669662,57778,18724,185597,227048,35591,51359,38226,55339
"Quechua (028)",1669,192,19,536,584,101,97,43,97
"Aymara (029)",262,38,10,84,82,22,9,9,8
"Ashaninca (030)",79,6,3,34,20,,6,5,5
"Otra lengua nativa (031)",950,72,30,264,345,51,75,42,71
"Castellano (032)",665868,57039,18633,184542,225925,35401,51145,38105,55078
"Idioma extranjero (033)",163,12,4,9,32,8,14,12,72
"Es sordomudo/a (034)",671,419,25,128,60,8,13,10,8
"Hombres (036)",320625,22649,9463,85955,115976,16885,21939,19963,27795
"Quechua (037)",795,52,9,232,310,57,53,25,57
"Aymara (038)",135,15,4,42,44,12,6,6,6
"Ashaninca (039)",32,1,2,12,11,,3,1,2
"Otra lengua nativa (040)",482,30,15,121,192,29,34,28,33
"Castellano (041)",318726,22330,9416,85470,115370,16778,21825,19889,27648
"Idioma extranjero (042)",96,7,2,4,13,5,12,9,44
"Es sordomudo/a (043)",359,214,15,74,36,4,6,5,5
"Mujeres (045)",349037,35129,9261,99642,111072,18706,29420,18263,27544
"Quechua (046)",874,140,10,304,274,44,44,18,40
"Aymara (047)",127,23,6,42,38,10,3,3,2
"Ashaninca (048)",47,5,1,22,9,,3,4,3
"Otra lengua nativa (049)",468,42,15,143,153,22,41,14,38
"Castellano (050)",347142,34709,9217,99072,110555,18623,29320,18216,27430
"Idioma extranjero (051)",67,5,2,5,19,3,2,3,28
"Es sordomudo/a (052)",312,205,10,54,24,4,7,5,3
,,,,,,,,,
"RURAL (054)",46260,6938,1194,20188,15032,931,985,461,531
"Quechua (055)",34,5,,17,10,1,1,,
"Aymara (056)",6,1,1,3,,,1,,
"Ashaninca (057)",3,,,2,1,,,,
"Otra lengua nativa (058)",4,1,1,2,,,,,
"Castellano (059)",46141,6875,1189,20156,15016,930,983,461,531
"Es sordomudo/a (061)",72,56,3,8,5,,,,
"Hombres (063)",23641,2705,622,10184,8638,446,494,256,296
"Quechua (064)",16,,,8,6,1,1,,
"Aymara (065)",3,,,2,,,1,,
"Ashaninca (066)",1,,,1,,,,,
"Castellano (068)",23575,2671,620,10167,8628,445,492,256,296
"Es sordomudo/a (070)",46,34,2,6,4,,,,
"Mujeres (072)",22619,4233,572,10004,6394,485,491,205,235
"Quechua (073)",18,5,,9,4,,,,
"Aymara (074)",3,1,1,1,,,,,
"Ashaninca (075)",2,,,1,1,,,,
"Otra lengua nativa (076)",4,1,1,2,,,,,
"Castellano (077)",22566,4204,569,9989,6388,485,491,205,235
"Es sordomudo/a (079)",26,22,1,2,1,,,,
