"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia HUARAL (000)",107756,104821,2935
"Hombres (001)",54335,53062,1273
"Mujeres (002)",53421,51759,1662
"De 18 a 29 años (003)",34767,33225,1542
"Hombres (004)",17641,16809,832
"Mujeres (005)",17126,16416,710
"De 30 a 44 años (006)",35117,34703,414
"Hombres (007)",17435,17246,189
"Mujeres (008)",17682,17457,225
"De 45 a 64 años (009)",25930,25581,349
"Hombres (010)",13202,13083,119
"Mujeres (011)",12728,12498,230
"De 65 y más años (012)",11942,11312,630
"Hombres (013)",6057,5924,133
"Mujeres (014)",5885,5388,497
,,,
"URBANA (015)",88684,86528,2156
"Hombres (016)",43611,42747,864
"Mujeres (017)",45073,43781,1292
"De 18 a 29 años (018)",28457,27285,1172
"Hombres (019)",14063,13464,599
"Mujeres (020)",14394,13821,573
"De 30 a 44 años (021)",29182,28924,258
"Hombres (022)",14073,13979,94
"Mujeres (023)",15109,14945,164
"De 45 a 64 años (024)",21468,21220,248
"Hombres (025)",10674,10602,72
"Mujeres (026)",10794,10618,176
"De 65 y más años (027)",9577,9099,478
"Hombres (028)",4801,4702,99
"Mujeres (029)",4776,4397,379
,,,
"RURAL (030)",19072,18293,779
"Hombres (031)",10724,10315,409
"Mujeres (032)",8348,7978,370
"De 18 a 29 años (033)",6310,5940,370
"Hombres (034)",3578,3345,233
"Mujeres (035)",2732,2595,137
"De 30 a 44 años (036)",5935,5779,156
"Hombres (037)",3362,3267,95
"Mujeres (038)",2573,2512,61
"De 45 a 64 años (039)",4462,4361,101
"Hombres (040)",2528,2481,47
"Mujeres (041)",1934,1880,54
"De 65 y más años (042)",2365,2213,152
"Hombres (043)",1256,1222,34
"Mujeres (044)",1109,991,118
