"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CANGALLO (000)",24659,4343,4138,4237,3724,2686,5531
"Católica (001)",17997,3192,3147,3217,2748,1889,3804
"Cristiana/Evangélica (002)",6136,1038,878,926,903,756,1635
"Otra (003)",191,27,17,26,36,24,61
"Ninguna (004)",335,86,96,68,37,17,31
"Hombres (006)",11568,2252,2028,1955,1788,1225,2320
"Católica (007)",8681,1682,1586,1527,1361,887,1638
"Cristiana/Evangélica (008)",2593,500,365,376,386,317,649
"Otra (009)",89,14,9,14,19,9,24
"Ninguna (010)",205,56,68,38,22,12,9
"Mujeres (012)",13091,2091,2110,2282,1936,1461,3211
"Católica (013)",9316,1510,1561,1690,1387,1002,2166
"Cristiana/Evangélica (014)",3543,538,513,550,517,439,986
"Otra (015)",102,13,8,12,17,15,37
"Ninguna (016)",130,30,28,30,15,5,22
,,,,,,,
"URBANA (018)",8758,1641,1455,1586,1460,909,1707
"Católica (019)",6673,1279,1130,1274,1151,674,1165
"Cristiana/Evangélica (020)",1735,281,247,251,264,209,483
"Otra (021)",126,16,11,16,24,15,44
"Ninguna (022)",224,65,67,45,21,11,15
"Hombres (024)",4167,872,720,720,723,429,703
"Católica (025)",3249,687,563,591,582,330,496
"Cristiana/Evangélica (026)",719,133,103,98,116,85,184
"Otra (027)",57,10,7,5,13,6,16
"Ninguna (028)",142,42,47,26,12,8,7
"Mujeres (030)",4591,769,735,866,737,480,1004
"Católica (031)",3424,592,567,683,569,344,669
"Cristiana/Evangélica (032)",1016,148,144,153,148,124,299
"Otra (033)",69,6,4,11,11,9,28
"Ninguna (034)",82,23,20,19,9,3,8
,,,,,,,
"RURAL (036)",15901,2702,2683,2651,2264,1777,3824
"Católica (037)",11324,1913,2017,1943,1597,1215,2639
"Cristiana/Evangélica (038)",4401,757,631,675,639,547,1152
"Otra (039)",65,11,6,10,12,9,17
"Ninguna (040)",111,21,29,23,16,6,16
"Hombres (042)",7401,1380,1308,1235,1065,796,1617
"Católica (043)",5432,995,1023,936,779,557,1142
"Cristiana/Evangélica (044)",1874,367,262,278,270,232,465
"Otra (045)",32,4,2,9,6,3,8
"Ninguna (046)",63,14,21,12,10,4,2
"Mujeres (048)",8500,1322,1375,1416,1199,981,2207
"Católica (049)",5892,918,994,1007,818,658,1497
"Cristiana/Evangélica (050)",2527,390,369,397,369,315,687
"Otra (051)",33,7,4,1,6,6,9
"Ninguna (052)",48,7,8,11,6,2,14
