"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PATAZ (000)",23766,402,8721,8456,4686,1501
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",72,,12,33,26,1
"Profes., científicos e intelectuales (002)",1516,,372,817,317,10
"Técnicos de nivel medio y trab.asimilados (003)",532,,172,273,82,5
"Jefes y empleados de oficina (004)",560,,255,206,93,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1268,12,405,488,297,66
"Agricult.trabaj. calif. agrop. y pesqueros (006)",7659,45,1667,2603,2284,1060
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",4043,15,1810,1719,434,65
"Obreros construc., conf., papel, fab., instr. (008)",1088,2,406,441,217,22
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",4980,261,2680,1267,617,155
"Otra (010)",39,,15,19,5,
"Ocupación no especificada (011)",795,4,291,274,162,64
"Desocupado (012)",1214,63,636,316,152,47
"Hombres (013)",20164,280,7356,7232,3986,1310
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",61,,7,30,23,1
"Profes., científicos e intelectuales (015)",878,,193,460,219,6
"Técnicos de nivel medio y trab.asimilados (016)",458,,149,235,71,3
"Jefes y empleados de oficina (017)",368,,145,155,62,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",586,3,177,235,131,40
"Agricult.trabaj. calif. agrop. y pesqueros (019)",7322,41,1596,2524,2168,993
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",3964,14,1778,1694,416,62
"Obreros construc., conf., papel, fab., instr. (021)",1082,2,402,439,217,22
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",3967,182,2217,1001,458,109
"Otra (023)",39,,15,19,5,
"Ocupación no especificada (024)",431,3,185,149,72,22
"Desocupado (025)",1008,35,492,291,144,46
"Mujeres (026)",3602,122,1365,1224,700,191
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",11,,5,3,3,
"Profes., científicos e intelectuales (028)",638,,179,357,98,4
"Técnicos de nivel medio y trab.asimilados (029)",74,,23,38,11,2
"Jefes y empleados de oficina (030)",192,,110,51,31,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",682,9,228,253,166,26
"Agricult.trabaj. calif. agrop. y pesqueros (032)",337,4,71,79,116,67
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",79,1,32,25,18,3
