"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PALPA (000)",3751,3397,8,765,778,565,653,352,195,81,354,11663
"De 12 a 14 años (001)",4,3,1,2,,,,,,,1,2
"De 15 a 19 años (002)",103,79,1,69,9,,,,,,24,87
"De 20 a 24 años (003)",403,281,,200,66,11,4,,,,122,381
"De 25 a 29 años (004)",452,366,1,165,141,50,9,,,,86,635
"De 30 a 34 años (005)",435,392,1,118,152,71,47,3,,,43,849
"De 35 a 39 años (006)",417,403,,56,143,109,81,14,,,14,1110
"De 40 a 44 años (007)",408,393,1,34,86,93,128,42,8,1,15,1388
"De 45 a 49 años (008)",346,330,,43,73,63,88,49,13,1,16,1196
"De 50 y más años (009)",1183,1150,3,78,108,168,296,244,174,79,33,6015
"PEA (010)",1530,1357,4,346,360,224,262,102,47,12,173,4070
"De 15 a 19 años (012)",21,15,,13,2,,,,,,6,17
"De 20 a 24 años (013)",153,100,,73,22,2,3,,,,53,135
"De 25 a 29 años (014)",202,148,1,76,52,18,1,,,,54,238
"De 30 a 34 años (015)",226,199,1,69,76,29,21,3,,,27,414
"De 35 a 39 años (016)",216,210,,34,81,50,39,6,,,6,556
"De 40 a 44 años (017)",221,213,,19,52,49,70,16,6,1,8,736
"De 45 a 49 años (018)",184,178,,26,42,27,55,22,6,,6,627
"De 50 y más años (019)",307,294,2,36,33,49,73,55,35,11,13,1347
"Ocupada (020)",1493,1338,4,339,355,219,261,101,47,12,155,4028
"De 15 a 19 años (022)",18,14,,12,2,,,,,,4,16
"De 20 a 24 años (023)",142,96,,71,20,2,3,,,,46,129
"De 25 a 29 años (024)",191,144,1,73,51,18,1,,,,47,233
"De 30 a 34 años (025)",220,195,1,68,75,28,20,3,,,25,404
