"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AZANGARO (000)",34863,189,11012,13863,4005,1234,505,192,28,,3835
"Sin Nivel (001)",10774,55,3123,4468,1422,543,239,108,17,,799
"Educación Inicial (002)",33,,10,11,4,,,,,,8
"Primaria (003)",14825,102,5265,5894,1572,425,183,67,9,,1308
"Secundaria (004)",7032,27,2311,2694,627,150,48,9,2,,1164
"Sup. no Univ. Incompleta (005)",555,3,95,222,58,19,3,,,,155
"Sup. no Univ. Completa (006)",946,2,130,368,190,61,19,4,,,172
"Sup. Univ. Incompleta (007)",248,,31,77,30,5,2,1,,,102
"Sup. Univ. Completa (008)",450,,47,129,102,31,11,3,,,127
,,,,,,,,,,,
"URBANA (010)",9184,54,2753,3422,1114,384,160,71,10,,1216
"Sin Nivel (011)",1548,14,419,552,201,97,48,37,5,,175
"Educación Inicial (012)",8,,3,2,1,,,,,,2
"Primaria (013)",3295,24,1151,1245,355,138,59,22,5,,296
"Secundaria (014)",2625,12,925,1004,245,59,24,4,,,352
"Sup. no Univ. Incompleta (015)",365,2,72,146,40,13,3,,,,89
"Sup. no Univ. Completa (016)",778,2,115,303,159,48,15,4,,,132
"Sup. Univ. Incompleta (017)",180,,25,58,19,5,2,1,,,70
"Sup. Univ. Completa (018)",385,,43,112,94,24,9,3,,,100
,,,,,,,,,,,
"RURAL (020)",25679,135,8259,10441,2891,850,345,121,18,,2619
"Sin Nivel (021)",9226,41,2704,3916,1221,446,191,71,12,,624
"Educación Inicial (022)",25,,7,9,3,,,,,,6
"Primaria (023)",11530,78,4114,4649,1217,287,124,45,4,,1012
"Secundaria (024)",4407,15,1386,1690,382,91,24,5,2,,812
"Sup. no Univ. Incompleta (025)",190,1,23,76,18,6,,,,,66
"Sup. no Univ. Completa (026)",168,,15,65,31,13,4,,,,40
"Sup. Univ. Incompleta (027)",68,,6,19,11,,,,,,32
"Sup. Univ. Completa (028)",65,,4,17,8,7,2,,,,27
