"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LAMPA (000)",1574,534,1040
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",14,14,
"Casa pensión (003)",2,2,
"Hospital, clinica (004)",26,26,
"Cárcel, centro de readaptación social (005)",20,20,
"Otro (008)",1088,99,989
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",424,373,51
