"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia SANTA",,,,,,,,,
"Viviendas particulares (001)",6953,5693,826,256,95,18,4,5,56
"Ocupantes presentes (002)",30331,24685,3718,1145,418,86,14,18,247
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",6533,5338,772,250,92,17,4,5,55
"Ocupantes presentes (005)",28940,23519,3534,1121,406,83,14,18,245
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",20,13,6,,,1,,,
"Ocupantes presentes (008)",77,52,22,,,3,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",28,25,1,1,1,,,,
"Ocupantes presentes (011)",99,84,11,1,3,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",16,15,1,,,,,,
"Ocupantes presentes (014)",39,37,2,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1,1,,,,,,,
"Ocupantes presentes (017)",1,1,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",348,295,45,5,2,,,,1
"Ocupantes presentes (020)",1155,973,148,23,9,,,,2
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",7,6,1,,,,,,
"Ocupantes presentes (023)",20,19,1,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",6818,5636,817,236,60,18,4,5,42
"Ocupantes presentes (029)",29792,24497,3677,1055,260,86,14,18,185
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",6399,5282,763,230,57,17,4,5,41
"Ocupantes presentes (032)",28402,23332,3493,1031,248,83,14,18,183
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",20,13,6,,,1,,,
"Ocupantes presentes (035)",77,52,22,,,3,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",28,25,1,1,1,,,,
"Ocupantes presentes (038)",99,84,11,1,3,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",16,15,1,,,,,,
"Ocupantes presentes (041)",39,37,2,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",348,295,45,5,2,,,,1
"Ocupantes presentes (047)",1155,973,148,23,9,,,,2
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",7,6,1,,,,,,
"Ocupantes presentes (050)",20,19,1,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",135,57,9,20,35,,,,14
"Ocupantes presentes (056)",539,188,41,90,158,,,,62
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",134,56,9,20,35,,,,14
"Ocupantes presentes (059)",538,187,41,90,158,,,,62
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1,1,,,,,,,
"Ocupantes presentes (071)",1,1,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
