"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia RECUAY (000)",14751,1965,2567,2560,2174,1820,3665
"Conviviente (001)",3679,36,516,1157,955,520,495
"Separado(a) (002)",590,,66,133,119,104,168
"Casado(a) (003)",4001,6,45,312,737,931,1970
"Viudo(a) (004)",1002,1,4,15,43,93,846
"Divorciado(a) (005)",38,,1,5,11,8,13
"Soltero(a) (006)",5441,1922,1935,938,309,164,173
"Hombres (008)",7153,1035,1329,1242,1005,872,1670
"Conviviente (009)",1792,16,176,561,476,291,272
"Separado(a) (010)",151,,8,24,35,31,53
"Casado(a) (011)",2020,3,13,135,338,446,1085
"Viudo(a) (012)",214,,1,3,6,19,185
"Divorciado(a) (013)",20,,,3,6,4,7
"Soltero(a) (014)",2956,1016,1131,516,144,81,68
"Mujeres (016)",7598,930,1238,1318,1169,948,1995
"Conviviente (017)",1887,20,340,596,479,229,223
"Separado(a) (018)",439,,58,109,84,73,115
"Casado(a) (019)",1981,3,32,177,399,485,885
"Viudo(a) (020)",788,1,3,12,37,74,661
"Divorciado(a) (021)",18,,1,2,5,4,6
"Soltero(a) (022)",2485,906,804,422,165,83,105
,,,,,,,
"URBANA (024)",8450,1062,1464,1508,1258,1024,2134
"Conviviente (025)",2001,25,278,657,506,265,270
"Separado(a) (026)",356,,30,86,75,60,105
"Casado(a) (027)",2378,3,27,199,454,543,1152
"Viudo(a) (028)",582,,4,10,24,51,493
"Divorciado(a) (029)",32,,1,3,10,7,11
"Soltero(a) (030)",3101,1034,1124,553,189,98,103
"Hombres (032)",3999,559,755,702,565,478,940
"Conviviente (033)",958,12,97,306,251,148,144
"Separado(a) (034)",80,,6,14,19,16,25
"Casado(a) (035)",1192,1,7,90,205,253,636
"Viudo(a) (036)",114,,1,2,3,13,95
"Divorciado(a) (037)",16,,,2,5,4,5
"Soltero(a) (038)",1639,546,644,288,82,44,35
"Mujeres (040)",4451,503,709,806,693,546,1194
"Conviviente (041)",1043,13,181,351,255,117,126
"Separado(a) (042)",276,,24,72,56,44,80
"Casado(a) (043)",1186,2,20,109,249,290,516
"Viudo(a) (044)",468,,3,8,21,38,398
"Divorciado(a) (045)",16,,1,1,5,3,6
"Soltero(a) (046)",1462,488,480,265,107,54,68
,,,,,,,
"RURAL (048)",6301,903,1103,1052,916,796,1531
"Conviviente (049)",1678,11,238,500,449,255,225
"Separado(a) (050)",234,,36,47,44,44,63
"Casado(a) (051)",1623,3,18,113,283,388,818
"Viudo(a) (052)",420,1,,5,19,42,353
"Divorciado(a) (053)",6,,,2,1,1,2
"Soltero(a) (054)",2340,888,811,385,120,66,70
"Hombres (056)",3154,476,574,540,440,394,730
"Conviviente (057)",834,4,79,255,225,143,128
"Separado(a) (058)",71,,2,10,16,15,28
"Casado(a) (059)",828,2,6,45,133,193,449
"Viudo(a) (060)",100,,,1,3,6,90
"Divorciado(a) (061)",4,,,1,1,,2
"Soltero(a) (062)",1317,470,487,228,62,37,33
"Mujeres (064)",3147,427,529,512,476,402,801
"Conviviente (065)",844,7,159,245,224,112,97
"Separado(a) (066)",163,,34,37,28,29,35
"Casado(a) (067)",795,1,12,68,150,195,369
"Viudo(a) (068)",320,1,,4,16,36,263
"Divorciado(a) (069)",2,,,1,,1,
"Soltero(a) (070)",1023,418,324,157,58,29,37
