"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia CARAVELI",,,,,,,
"Viviendas particulares (001)",9386,1418,892,948,4778,817,533
"Ocupantes presentes (002)",32412,4623,2586,3616,17794,2144,1649
"Casa independiente",,,,,,,
"Viviendas particulares (004)",8331,1229,624,935,4528,593,422
"Ocupantes presentes (005)",29352,4046,1840,3581,16930,1603,1352
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",4,1,,1,1,1,
"Ocupantes presentes (008)",7,1,,2,3,1,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",74,43,,2,17,9,3
"Ocupantes presentes (011)",242,125,,5,81,21,10
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",115,73,,1,25,12,4
"Ocupantes presentes (014)",388,256,,1,93,26,12
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",687,49,215,4,153,175,91
"Ocupantes presentes (017)",1832,121,561,13,481,409,247
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",136,18,53,5,45,8,7
"Ocupantes presentes (020)",469,59,185,14,174,21,16
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",26,3,,,5,17,1
"Ocupantes presentes (023)",89,9,,,17,61,2
"Otro tipo",,,,,,,
"Viviendas particulares (025)",13,2,,,4,2,5
"Ocupantes presentes (026)",33,6,,,15,2,10
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",6019,1183,303,840,3169,265,259
"Ocupantes presentes (029)",21984,3947,1049,3212,12156,766,854
"Casa independiente",,,,,,,
"Viviendas particulares (031)",5657,1044,250,831,3072,217,243
"Ocupantes presentes (032)",20768,3493,864,3190,11773,637,811
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",4,1,,1,1,1,
"Ocupantes presentes (035)",7,1,,2,3,1,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",74,43,,2,17,9,3
"Ocupantes presentes (038)",242,125,,5,81,21,10
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",115,73,,1,25,12,4
"Ocupantes presentes (041)",388,256,,1,93,26,12
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",136,18,53,5,45,8,7
"Ocupantes presentes (047)",469,59,185,14,174,21,16
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",25,3,,,5,16,1
"Ocupantes presentes (050)",86,9,,,17,58,2
"Otro tipo",,,,,,,
"Viviendas particulares (052)",8,1,,,4,2,1
"Ocupantes presentes (053)",24,4,,,15,2,3
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",3367,235,589,108,1609,552,274
"Ocupantes presentes (056)",10428,676,1537,404,5638,1378,795
"Casa independiente",,,,,,,
"Viviendas particulares (058)",2674,185,374,104,1456,376,179
"Ocupantes presentes (059)",8584,553,976,391,5157,966,541
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",687,49,215,4,153,175,91
"Ocupantes presentes (071)",1832,121,561,13,481,409,247
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",1,,,,,1,
"Ocupantes presentes (077)",3,,,,,3,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",5,1,,,,,4
"Ocupantes presentes (080)",9,2,,,,,7
