"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia MOYOBAMBA (000)",28218,127,444,1155,2421,5750,11611,6710
"De 12 a 14 años (001)",91,,,,,,11,80
"De 15 a 19 años (002)",1531,,,,,,928,603
"De 20 a 24 años (003)",3789,,,,,15,2454,1320
"De 25 a 29 años (004)",4270,,,,,268,2871,1131
"De 30 a 34 años (005)",3922,,,,,737,2388,797
"De 35 a 39 años (006)",3460,,,,47,1151,1680,582
"De 40 a 44 años (007)",2853,,,,167,1344,878,464
"De 45 a 49 años (008)",2198,,,12,415,1118,330,323
"De 50 y más años (009)",6104,127,444,1143,1792,1117,71,1410
"PEA (010)",8814,9,65,274,823,2245,3057,2341
"De 12 a 14 años (011)",12,,,,,,2,10
"De 15 a 19 años (012)",279,,,,,,137,142
"De 20 a 24 años (013)",954,,,,,4,528,422
"De 25 a 29 años (014)",1255,,,,,99,693,463
"De 30 a 34 años (015)",1384,,,,,313,718,353
"De 35 a 39 años (016)",1330,,,,26,470,570,264
"De 40 a 44 años (017)",1178,,,,76,576,311,215
"De 45 a 49 años (018)",905,,,6,210,465,84,140
"De 50 y más años (019)",1517,9,65,268,511,318,14,332
"Ocupada (020)",8673,9,64,273,818,2218,3007,2284
"De 12 a 14 años (021)",12,,,,,,2,10
"De 15 a 19 años (022)",263,,,,,,130,133
"De 20 a 24 años (023)",923,,,,,4,513,406
"De 25 a 29 años (024)",1228,,,,,95,683,450
"De 30 a 34 años (025)",1362,,,,,311,707,344
"De 35 a 39 años (026)",1319,,,,26,465,565,263
"De 40 a 44 años (027)",1165,,,,76,567,310,212
"De 45 a 49 años (028)",898,,,6,208,460,84,140
"De 50 y más años (029)",1503,9,64,267,508,316,13,326
"Desocupada (030)",141,,1,1,5,27,50,57
"De 15 a 19 años (032)",16,,,,,,7,9
"De 20 a 24 años (033)",31,,,,,,15,16
"De 25 a 29 años (034)",27,,,,,4,10,13
"De 30 a 34 años (035)",22,,,,,2,11,9
"De 35 a 39 años (036)",11,,,,,5,5,1
"De 40 a 44 años (037)",13,,,,,9,1,3
"De 45 a 49 años (038)",7,,,,2,5,,
"De 50 y más años (039)",14,,1,1,3,2,1,6
"No PEA (040)",19404,118,379,881,1598,3505,8554,4369
"De 12 a 14 años (041)",79,,,,,,9,70
"De 15 a 19 años (042)",1252,,,,,,791,461
"De 20 a 24 años (043)",2835,,,,,11,1926,898
"De 25 a 29 años (044)",3015,,,,,169,2178,668
"De 30 a 34 años (045)",2538,,,,,424,1670,444
"De 35 a 39 años (046)",2130,,,,21,681,1110,318
