"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUARAL (000)",2585,40,1332,707,415,91
"Sin nivel (001)",99,,19,28,33,19
"Educación inicial (002)",1,,1,,,
"Primaria (003)",516,24,142,153,147,50
"Secundaria (004)",1384,16,840,344,168,16
"Superior no univ. incompleta (005)",157,,89,47,19,2
"Superior no univ. completa (006)",189,,112,58,18,1
"Superior univ. incompleta (007)",96,,58,27,11,
"Superior univ. completa (008)",143,,71,50,19,3
"Hombres (010)",1719,29,830,466,323,71
"Sin nivel (011)",48,,9,13,16,10
"Primaria (013)",363,15,98,95,113,42
"Secundaria (014)",989,14,564,249,147,15
"Superior no univ. incompleta (015)",88,,43,29,15,1
"Superior no univ. completa (016)",100,,50,39,10,1
"Superior univ. incompleta (017)",54,,28,18,8,
"Superior univ. completa (018)",77,,38,23,14,2
"Mujeres (020)",866,11,502,241,92,20
"Sin nivel (021)",51,,10,15,17,9
"Educación inicial (022)",1,,1,,,
"Primaria (023)",153,9,44,58,34,8
"Secundaria (024)",395,2,276,95,21,1
"Superior no univ. incompleta (025)",69,,46,18,4,1
"Superior no univ. completa (026)",89,,62,19,8,
"Superior univ. incompleta (027)",42,,30,9,3,
"Superior univ. completa (028)",66,,33,27,5,1
,,,,,,
"Area Urbana (030)",2310,36,1180,650,367,77
"Sin nivel (031)",76,,15,21,26,14
"Educación inicial (032)",1,,1,,,
"Primaria (033)",452,22,121,136,128,45
"Secundaria (034)",1249,14,743,325,153,14
"Superior no univ. incompleta (035)",145,,79,46,18,2
"Superior no univ. completa (036)",168,,99,52,16,1
"Superior univ. incompleta (037)",87,,54,24,9,
"Superior univ. completa (038)",132,,68,46,17,1
"Hombres (040)",1546,27,744,431,283,61
"Sin nivel (041)",36,,7,9,11,9
"Primaria (043)",322,15,86,85,99,37
"Secundaria (044)",898,12,504,236,133,13
"Superior no univ. incompleta (045)",80,,36,29,14,1
"Superior no univ. completa (046)",91,,47,35,8,1
"Superior univ. incompleta (047)",48,,27,15,6,
"Superior univ. completa (048)",71,,37,22,12,
"Mujeres (050)",764,9,436,219,84,16
"Sin nivel (051)",40,,8,12,15,5
"Educación inicial (052)",1,,1,,,
"Primaria (053)",130,7,35,51,29,8
"Secundaria (054)",351,2,239,89,20,1
"Superior no univ. incompleta (055)",65,,43,17,4,1
"Superior no univ. completa (056)",77,,52,17,8,
"Superior univ. incompleta (057)",39,,27,9,3,
"Superior univ. completa (058)",61,,31,24,5,1
,,,,,,
"Area Rural (060)",275,4,152,57,48,14
"Sin nivel (061)",23,,4,7,7,5
"Primaria (063)",64,2,21,17,19,5
"Secundaria (064)",135,2,97,19,15,2
"Superior no univ. incompleta (065)",12,,10,1,1,
"Superior no univ. completa (066)",21,,13,6,2,
"Superior univ. incompleta (067)",9,,4,3,2,
"Superior univ. completa (068)",11,,3,4,2,2
"Hombres (070)",173,2,86,35,40,10
"Sin nivel (071)",12,,2,4,5,1
"Primaria (073)",41,,12,10,14,5
"Secundaria (074)",91,2,60,13,14,2
"Superior no univ. incompleta (075)",8,,7,,1,
"Superior no univ. completa (076)",9,,3,4,2,
"Superior univ. incompleta (077)",6,,1,3,2,
"Superior univ. completa (078)",6,,1,1,2,2
"Mujeres (080)",102,2,66,22,8,4
"Sin nivel (081)",11,,2,3,2,4
"Primaria (083)",23,2,9,7,5,
"Secundaria (084)",44,,37,6,1,
"Superior no univ. incompleta (085)",4,,3,1,,
"Superior no univ. completa (086)",12,,10,2,,
"Superior univ. incompleta (087)",3,,3,,,
"Superior univ. completa (088)",5,,2,3,,
