"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUAMALIES (000)",15749,224,7537,4857,1200,371,167,72,19,,1302
"Conviviente (001)",6250,90,3199,1840,432,112,46,18,3,,510
"Separado(a) (002)",966,27,441,291,105,30,12,3,1,,56
"Casado(a) (003)",5651,55,2773,1887,420,130,62,27,5,,292
"Viudo(a) (004)",1715,33,757,555,153,60,31,18,7,,101
"Divorciado(a) (005)",64,1,29,17,8,1,,,,,8
"Soltero(a) (006)",1103,18,338,267,82,38,16,6,3,,335
,,,,,,,,,,,
"URBANA (008)",4726,52,2025,1491,439,148,65,32,6,,468
"Conviviente (009)",1625,14,732,519,142,40,12,5,,,161
"Separado(a) (010)",328,11,136,98,45,12,4,1,1,,20
"Casado(a) (011)",1878,18,836,619,174,58,32,16,2,,123
"Viudo(a) (012)",498,5,208,157,47,22,12,6,2,,39
"Divorciado(a) (013)",24,,12,5,6,1,,,,,
"Soltero(a) (014)",373,4,101,93,25,15,5,4,1,,125
,,,,,,,,,,,
"RURAL (016)",11023,172,5512,3366,761,223,102,40,13,,834
"Conviviente (017)",4625,76,2467,1321,290,72,34,13,3,,349
"Separado(a) (018)",638,16,305,193,60,18,8,2,,,36
"Casado(a) (019)",3773,37,1937,1268,246,72,30,11,3,,169
"Viudo(a) (020)",1217,28,549,398,106,38,19,12,5,,62
"Divorciado(a) (021)",40,1,17,12,2,,,,,,8
"Soltero(a) (022)",730,14,237,174,57,23,11,2,2,,210
