"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MOYOBAMBA (000)",107082,5614,13705,14676,12353,20047,16010,20019,4658
"Sabe leer y escribir (001)",90844,,9884,14428,12043,19237,14966,17097,3189
"No sabe leer y escribir (002)",16238,5614,3821,248,310,810,1044,2922,1469
"Hombres (004)",55586,2918,7078,7456,6366,10268,8299,10880,2321
"Sabe leer y escribir (005)",48561,,5047,7328,6226,9977,7997,10092,1894
"No sabe leer y escribir (006)",7025,2918,2031,128,140,291,302,788,427
"Mujeres (008)",51496,2696,6627,7220,5987,9779,7711,9139,2337
"Sabe leer y escribir (009)",42283,,4837,7100,5817,9260,6969,7005,1295
"No sabe leer y escribir (010)",9213,2696,1790,120,170,519,742,2134,1042
,,,,,,,,,
"URBANA (012)",64233,2847,7050,8455,7450,11446,10162,13466,3357
"Sabe leer y escribir (013)",57168,,5474,8387,7352,11203,9804,12345,2603
"No sabe leer y escribir (014)",7065,2847,1576,68,98,243,358,1121,754
"Hombres (016)",32325,1480,3623,4250,3679,5578,4988,7142,1585
"Sabe leer y escribir (017)",29311,,2796,4218,3636,5486,4895,6864,1416
"No sabe leer y escribir (018)",3014,1480,827,32,43,92,93,278,169
"Mujeres (020)",31908,1367,3427,4205,3771,5868,5174,6324,1772
"Sabe leer y escribir (021)",27857,,2678,4169,3716,5717,4909,5481,1187
"No sabe leer y escribir (022)",4051,1367,749,36,55,151,265,843,585
,,,,,,,,,
"RURAL (024)",42849,2767,6655,6221,4903,8601,5848,6553,1301
"Sabe leer y escribir (025)",33676,,4410,6041,4691,8034,5162,4752,586
"No sabe leer y escribir (026)",9173,2767,2245,180,212,567,686,1801,715
"Hombres (028)",23261,1438,3455,3206,2687,4690,3311,3738,736
"Sabe leer y escribir (029)",19250,,2251,3110,2590,4491,3102,3228,478
"No sabe leer y escribir (030)",4011,1438,1204,96,97,199,209,510,258
"Mujeres (032)",19588,1329,3200,3015,2216,3911,2537,2815,565
"Sabe leer y escribir (033)",14426,,2159,2931,2101,3543,2060,1524,108
"No sabe leer y escribir (034)",5162,1329,1041,84,115,368,477,1291,457
