"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",15812,5293,2287,558,7743
"Quechua (001)",8,1,1,,6
"Aymara (002)",5,3,1,,1
"Asháninka (003)",2,,2,1,
"Castellano (005)",15766,5279,2280,554,7721
"Idioma Extranjero (006)",12,1,2,3,6
"Es Sordomudo/a (007)",19,9,1,,9
"Hombres (009)",8361,2550,1156,339,4364
"Quechua (010)",3,,,,3
"Aymara (011)",4,2,1,,1
"Asháninka (012)",2,,2,1,
"Castellano (014)",8331,2543,1150,335,4350
"Idioma Extranjero (015)",8,1,2,3,2
"Es Sordomudo/a (016)",13,4,1,,8
"Mujeres (018)",7451,2743,1131,219,3379
"Quechua (019)",5,1,1,,3
"Aymara (020)",1,1,,,
"Castellano (023)",7435,2736,1130,219,3371
"Idioma Extranjero (024)",4,,,,4
"Es Sordomudo/a (025)",6,5,,,1
,,,,,
"URBANA (027)",12349,4033,2004,476,5901
"Quechua (028)",4,,1,,3
"Aymara (029)",5,3,1,,1
"Asháninka (030)",2,,2,1,
"Castellano (032)",12320,4023,1998,472,5891
"Idioma Extranjero (033)",6,,1,3,2
"Es Sordomudo/a (034)",12,7,1,,4
"Hombres (036)",6468,1925,1004,289,3294
"Quechua (037)",1,,,,1
"Aymara (038)",4,2,1,,1
"Asháninka (039)",2,,2,1,
"Castellano (041)",6449,1920,999,285,3288
"Idioma Extranjero (042)",5,,1,3,1
"Es Sordomudo/a (043)",7,3,1,,3
"Mujeres (045)",5881,2108,1000,187,2607
"Quechua (046)",3,,1,,2
"Aymara (047)",1,1,,,
"Castellano (050)",5871,2103,999,187,2603
"Idioma Extranjero (051)",1,,,,1
"Es Sordomudo/a (052)",5,4,,,1
,,,,,
"RURAL (054)",3463,1260,283,82,1842
"Quechua (055)",4,1,,,3
"Castellano (059)",3446,1256,282,82,1830
"Idioma Extranjero (060)",6,1,1,,4
"Es Sordomudo/a (061)",7,2,,,5
"Hombres (063)",1893,625,152,50,1070
"Quechua (064)",2,,,,2
"Castellano (068)",1882,623,151,50,1062
"Idioma Extranjero (069)",3,1,1,,1
"Es Sordomudo/a (070)",6,1,,,5
"Mujeres (072)",1570,635,131,32,772
"Quechua (073)",2,1,,,1
"Castellano (077)",1564,633,131,32,768
"Idioma Extranjero (078)",3,,,,3
"Es Sordomudo/a (079)",1,1,,,
