"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUANCANE (000)",22288,68806,3975,13146,18313,55660
"Casa independiente (001)",17296,53697,3938,13043,13358,40654
"Departamento en edificio (002)",2,5,2,5,,
"Vivienda en quinta (003)",8,26,8,26,,
"Vivienda en casa de vecindad (004)",18,49,18,49,,
"Choza o cabaña (005)",4943,14979,,,4943,14979
"Vivienda improvisada (006)",1,1,1,1,,
"Local no dest.para hab. humana (007)",9,27,7,19,2,8
"Otro tipo (008)",11,22,1,3,10,19
