"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",49116,7488,1293,24976,12555,715,675,525,889
"Quechua (001)",497,134,2,244,99,5,4,5,4
"Aymara (002)",30,10,1,12,4,,1,,2
"Ashaninca (003)",13,3,1,6,3,,,,
"Otra lengua nativa (004)",4411,995,75,2279,884,52,30,57,39
"Castellano (005)",44083,6304,1213,22410,11556,657,640,462,841
"Idioma extranjero (006)",38,13,,15,6,,,1,3
"Es sordomudo/a (007)",44,29,1,10,3,1,,,
"Hombres (009)",26427,3437,645,13072,7493,459,420,339,562
"Quechua (010)",276,39,2,157,63,3,3,5,4
"Aymara (011)",14,3,,7,2,,1,,1
"Ashaninca (012)",3,,,1,2,,,,
"Otra lengua nativa (013)",2291,474,36,1141,530,30,22,31,27
"Castellano (014)",23811,2904,606,11758,6892,426,394,302,529
"Idioma extranjero (015)",10,4,,3,1,,,1,1
"Es sordomudo/a (016)",22,13,1,5,3,,,,
"Mujeres (018)",22689,4051,648,11904,5062,256,255,186,327
"Quechua (019)",221,95,,87,36,2,1,,
"Aymara (020)",16,7,1,5,2,,,,1
"Ashaninca (021)",10,3,1,5,1,,,,
"Otra lengua nativa (022)",2120,521,39,1138,354,22,8,26,12
"Castellano (023)",20272,3400,607,10652,4664,231,246,160,312
"Idioma extranjero (024)",28,9,,12,5,,,,2
"Es sordomudo/a (025)",22,16,,5,,1,,,
,,,,,,,,,
"URBANA (027)",15024,1578,439,5602,5564,464,470,315,592
"Quechua (028)",105,20,1,37,36,3,2,2,4
"Aymara (029)",10,4,,1,2,,1,,2
"Ashaninca (030)",2,,,1,1,,,,
"Otra lengua nativa (031)",178,58,1,70,41,2,1,3,2
"Castellano (032)",14696,1482,437,5483,5479,459,466,309,581
"Idioma extranjero (033)",13,2,,4,3,,,1,3
"Es sordomudo/a (034)",20,12,,6,2,,,,
"Hombres (036)",7869,743,201,2732,3096,277,262,193,365
"Quechua (037)",60,6,1,20,24,2,1,2,4
"Aymara (038)",5,1,,1,1,,1,,1
"Ashaninca (039)",2,,,1,1,,,,
"Otra lengua nativa (040)",81,23,,33,22,,1,1,1
"Castellano (041)",7705,704,200,2674,3046,275,259,189,358
"Idioma extranjero (042)",3,1,,,,,,1,1
"Es sordomudo/a (043)",13,8,,3,2,,,,
"Mujeres (045)",7155,835,238,2870,2468,187,208,122,227
"Quechua (046)",45,14,,17,12,1,1,,
"Aymara (047)",5,3,,,1,,,,1
"Otra lengua nativa (049)",97,35,1,37,19,2,,2,1
"Castellano (050)",6991,778,237,2809,2433,184,207,120,223
"Idioma extranjero (051)",10,1,,4,3,,,,2
"Es sordomudo/a (052)",7,4,,3,,,,,
,,,,,,,,,
"RURAL (054)",34092,5910,854,19374,6991,251,205,210,297
"Quechua (055)",392,114,1,207,63,2,2,3,
"Aymara (056)",20,6,1,11,2,,,,
"Ashaninca (057)",11,3,1,5,2,,,,
"Otra lengua nativa (058)",4233,937,74,2209,843,50,29,54,37
"Castellano (059)",29387,4822,776,16927,6077,198,174,153,260
"Idioma extranjero (060)",25,11,,11,3,,,,
"Es sordomudo/a (061)",24,17,1,4,1,1,,,
"Hombres (063)",18558,2694,444,10340,4397,182,158,146,197
"Quechua (064)",216,33,1,137,39,1,2,3,
"Aymara (065)",9,2,,6,1,,,,
"Ashaninca (066)",1,,,,1,,,,
"Otra lengua nativa (067)",2210,451,36,1108,508,30,21,30,26
"Castellano (068)",16106,2200,406,9084,3846,151,135,113,171
"Idioma extranjero (069)",7,3,,3,1,,,,
"Es sordomudo/a (070)",9,5,1,2,1,,,,
"Mujeres (072)",15534,3216,410,9034,2594,69,47,64,100
"Quechua (073)",176,81,,70,24,1,,,
"Aymara (074)",11,4,1,5,1,,,,
"Ashaninca (075)",10,3,1,5,1,,,,
"Otra lengua nativa (076)",2023,486,38,1101,335,20,8,24,11
"Castellano (077)",13281,2622,370,7843,2231,47,39,40,89
"Idioma extranjero (078)",18,8,,8,2,,,,
"Es sordomudo/a (079)",15,12,,2,,1,,,
