"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia LAMPA (000)",12830,86,296,767,1612,2613,4068,3388
"De 12 a 14 años (001)",18,,,,,,3,15
"De 15 a 19 años (002)",291,,,,,,193,98
"De 20 a 24 años (003)",1305,,,,,3,772,530
"De 25 a 29 años (004)",1536,,,,,63,952,521
"De 30 a 34 años (005)",1411,,,,,231,820,360
"De 35 a 39 años (006)",1448,,,,16,477,657,298
"De 40 a 44 años (007)",1246,,,1,72,541,420,212
"De 45 a 49 años (008)",1096,,,,185,533,198,180
"De 50 y más años (009)",4479,86,296,766,1339,765,53,1174
"PEA (010)",4357,11,54,211,591,1042,1342,1106
"De 12 a 14 años (011)",3,,,,,,1,2
"De 15 a 19 años (012)",65,,,,,,37,28
"De 20 a 24 años (013)",400,,,,,1,227,172
"De 25 a 29 años (014)",551,,,,,26,327,198
"De 30 a 34 años (015)",518,,,,,90,280,148
"De 35 a 39 años (016)",526,,,,7,179,231,109
"De 40 a 44 años (017)",481,,,,29,225,147,80
"De 45 a 49 años (018)",458,,,,89,228,72,69
"De 50 y más años (019)",1355,11,54,211,466,293,20,300
"Ocupada (020)",4115,11,53,210,581,1001,1262,997
"De 12 a 14 años (021)",2,,,,,,1,1
"De 15 a 19 años (022)",59,,,,,,36,23
"De 20 a 24 años (023)",351,,,,,1,208,142
"De 25 a 29 años (024)",494,,,,,23,305,166
"De 30 a 34 años (025)",469,,,,,77,262,130
"De 35 a 39 años (026)",493,,,,7,169,217,100
"De 40 a 44 años (027)",473,,,,29,222,143,79
"De 45 a 49 años (028)",445,,,,87,225,70,63
"De 50 y más años (029)",1329,11,53,210,458,284,20,293
"Desocupada (030)",242,,1,1,10,41,80,109
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",6,,,,,,1,5
"De 20 a 24 años (033)",49,,,,,,19,30
"De 25 a 29 años (034)",57,,,,,3,22,32
"De 30 a 34 años (035)",49,,,,,13,18,18
"De 35 a 39 años (036)",33,,,,,10,14,9
"De 40 a 44 años (037)",8,,,,,3,4,1
"De 45 a 49 años (038)",13,,,,2,3,2,6
"De 50 y más años (039)",26,,1,1,8,9,,7
"No PEA (040)",8473,75,242,556,1021,1571,2726,2282
"De 12 a 14 años (041)",15,,,,,,2,13
"De 15 a 19 años (042)",226,,,,,,156,70
"De 20 a 24 años (043)",905,,,,,2,545,358
"De 25 a 29 años (044)",985,,,,,37,625,323
"De 30 a 34 años (045)",893,,,,,141,540,212
"De 35 a 39 años (046)",922,,,,9,298,426,189
"De 40 a 44 años (047)",765,,,1,43,316,273,132
