"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUALGAYOC (000)",22345,5176,17169
"Red pública dentro de la vivienda (001)",3883,2784,1099
"Red pública fuera de la vivienda (002)",7516,1128,6388
"Pilón de uso público (003)",413,52,361
"Camión - cisterna u otro similar (004)",33,1,32
"Pozo (005)",7063,437,6626
"Río, acequia, manatial o similar (006)",2006,575,1431
"Vecino (007)",1332,182,1150
"Otro (008)",99,17,82
,,,
"URBANA (010)",4937,3756,1181
"Red pública dentro de la vivienda (011)",3159,2643,516
"Red pública fuera de la vivienda (012)",915,721,194
"Pilón de uso público (013)",68,40,28
"Camión - cisterna u otro similar (014)",1,1,
"Pozo (015)",378,166,212
"Río, acequia, manatial o similar (016)",87,63,24
"Vecino (017)",294,113,181
"Otro (018)",35,9,26
,,,
"RURAL (020)",17408,1420,15988
"Red pública dentro de la vivienda (021)",724,141,583
"Red pública fuera de la vivienda (022)",6601,407,6194
"Pilón de uso público (023)",345,12,333
"Camión - cisterna u otro similar (024)",32,,32
"Pozo (025)",6685,271,6414
"Río, acequia, manatial o similar (026)",1919,512,1407
"Vecino (027)",1038,69,969
"Otro (028)",64,8,56
