"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",19897,5623,5556,3645,3167,1906
"Hombres (001)",9738,2868,2792,1776,1476,826
"Mujeres (002)",10159,2755,2764,1869,1691,1080
"PEA (003)",4831,46,1462,1712,1225,386
"Hombres (004)",3837,32,1170,1328,987,320
"Mujeres (005)",994,14,292,384,238,66
"Ocupada (006)",4480,42,1292,1612,1161,373
"Hombres (007)",3559,28,1048,1241,932,310
"Mujeres (008)",921,14,244,371,229,63
"Desocupada (009)",351,4,170,100,64,13
"Hombres (010)",278,4,122,87,55,10
"Mujeres (011)",73,,48,13,9,3
"No PEA (012)",15066,5577,4094,1933,1942,1520
"Hombres (013)",5901,2836,1622,448,489,506
"Mujeres (014)",9165,2741,2472,1485,1453,1014
,,,,,,
"URBANA (018)",2563,606,670,616,435,236
"Hombres (019)",1286,308,334,324,218,102
"Mujeres (020)",1277,298,336,292,217,134
"PEA (021)",1003,10,249,433,246,65
"Hombres (022)",657,6,163,278,162,48
"Mujeres (023)",346,4,86,155,84,17
"Ocupada (024)",986,10,240,428,244,64
"Hombres (025)",646,6,159,274,160,47
"Mujeres (026)",340,4,81,154,84,17
"Desocupada (027)",17,,9,5,2,1
"Hombres (028)",11,,4,4,2,1
"Mujeres (029)",6,,5,1,,
"No PEA (030)",1560,596,421,183,189,171
"Hombres (031)",629,302,171,46,56,54
"Mujeres (032)",931,294,250,137,133,117
,,,,,,
"RURAL (036)",17334,5017,4886,3029,2732,1670
"Hombres (037)",8452,2560,2458,1452,1258,724
"Mujeres (038)",8882,2457,2428,1577,1474,946
"PEA (039)",3828,36,1213,1279,979,321
"Hombres (040)",3180,26,1007,1050,825,272
"Mujeres (041)",648,10,206,229,154,49
"Ocupada (042)",3494,32,1052,1184,917,309
"Hombres (043)",2913,22,889,967,772,263
"Mujeres (044)",581,10,163,217,145,46
"Desocupada (045)",334,4,161,95,62,12
"Hombres (046)",267,4,118,83,53,9
"Mujeres (047)",67,,43,12,9,3
"No PEA (048)",13506,4981,3673,1750,1753,1349
"Hombres (049)",5272,2534,1451,402,433,452
"Mujeres (050)",8234,2447,2222,1348,1320,897
