"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia SANTIAGO DE CHUCO (000)",32429,30694,1735
"Hombres (001)",16700,16201,499
"Mujeres (002)",15729,14493,1236
"De 18 a 29 años (003)",10482,10012,470
"Hombres (004)",5503,5284,219
"Mujeres (005)",4979,4728,251
"De 30 a 44 años (006)",10558,10406,152
"Hombres (007)",5640,5597,43
"Mujeres (008)",4918,4809,109
"De 45 a 64 años (009)",7339,7014,325
"Hombres (010)",3678,3620,58
"Mujeres (011)",3661,3394,267
"De 65 y más años (012)",4050,3262,788
"Hombres (013)",1879,1700,179
"Mujeres (014)",2171,1562,609
,,,
"URBANA (015)",11392,11052,340
"Hombres (016)",5337,5255,82
"Mujeres (017)",6055,5797,258
"De 18 a 29 años (018)",3653,3545,108
"Hombres (019)",1741,1694,47
"Mujeres (020)",1912,1851,61
"De 30 a 44 años (021)",3852,3830,22
"Hombres (022)",1843,1838,5
"Mujeres (023)",2009,1992,17
"De 45 a 64 años (024)",2619,2572,47
"Hombres (025)",1214,1205,9
"Mujeres (026)",1405,1367,38
"De 65 y más años (027)",1268,1105,163
"Hombres (028)",539,518,21
"Mujeres (029)",729,587,142
,,,
"RURAL (030)",21037,19642,1395
"Hombres (031)",11363,10946,417
"Mujeres (032)",9674,8696,978
"De 18 a 29 años (033)",6829,6467,362
"Hombres (034)",3762,3590,172
"Mujeres (035)",3067,2877,190
"De 30 a 44 años (036)",6706,6576,130
"Hombres (037)",3797,3759,38
"Mujeres (038)",2909,2817,92
"De 45 a 64 años (039)",4720,4442,278
"Hombres (040)",2464,2415,49
"Mujeres (041)",2256,2027,229
"De 65 y más años (042)",2782,2157,625
"Hombres (043)",1340,1182,158
"Mujeres (044)",1442,975,467
