"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHUPACA (000)",48047,5117,1125,15819,17571,2273,2712,1350,2080
"Jefe o Jefa (001)",12882,1022,1,4317,4966,510,912,297,857
"Esposa(o)/ compa¤era(o) (002)",7431,829,5,2867,2608,225,460,113,324
"Hijo(a)/ hijastro(a) (003)",20877,1991,837,6392,7895,1242,1044,777,699
"Yerno/ nuera (004)",856,5,1,85,470,74,106,36,79
"Nieto(a) (005)",2641,586,226,1019,626,71,36,54,23
"Padres/ suegros (006)",748,341,,333,54,5,7,3,5
"Otro(a) pariente (007)",2133,302,50,654,771,109,116,57,74
"Trabajador(a) del hogar (008)",49,7,1,13,25,3,,,
"Pensionista (009)",9,,,3,6,,,,
"Otro(a) no pariente (010)",421,34,4,136,150,34,31,13,19
"Hombres (012)",22694,1638,584,6576,9443,1168,1314,761,1210
"Jefe o Jefa (013)",8428,180,,2335,3852,406,689,239,727
"Esposa(o)/ compa¤era(o) (014)",454,14,,94,228,23,38,14,43
"Hijo(a)/ hijastro(a) (015)",10482,992,420,3099,4200,590,439,420,322
"Yerno/ nuera (016)",438,1,1,30,241,42,49,25,49
"Nieto(a) (017)",1379,310,128,507,354,34,15,20,11
"Padres/ suegros (018)",190,22,,120,32,4,5,2,5
"Otro(a) pariente (019)",1079,105,33,309,446,52,61,30,43
"Trabajador(a) del hogar (020)",7,1,,2,4,,,,
"Pensionista (021)",5,,,1,4,,,,
"Otro(a) no pariente (022)",232,13,2,79,82,17,18,11,10
"Mujeres (024)",25353,3479,541,9243,8128,1105,1398,589,870
"Jefe o Jefa (025)",4454,842,1,1982,1114,104,223,58,130
"Esposa(o)/ compa¤era(o) (026)",6977,815,5,2773,2380,202,422,99,281
"Hijo(a)/ hijastro(a) (027)",10395,999,417,3293,3695,652,605,357,377
"Yerno/ nuera (028)",418,4,,55,229,32,57,11,30
"Nieto(a) (029)",1262,276,98,512,272,37,21,34,12
"Padres/ suegros (030)",558,319,,213,22,1,2,1,
"Otro(a) pariente (031)",1054,197,17,345,325,57,55,27,31
"Trabajador(a) del hogar (032)",42,6,1,11,21,3,,,
"Pensionista (033)",4,,,2,2,,,,
"Otro(a) no pariente (034)",189,21,2,57,68,17,13,2,9
,,,,,,,,,
"URBANA (036)",28721,2710,665,8650,10402,1546,2034,1069,1645
"Jefe o Jefa (037)",7680,512,1,2223,2956,372,700,233,683
"Esposa(o)/ compa¤era(o) (038)",4457,428,3,1493,1623,168,383,98,261
"Hijo(a)/ hijastro(a) (039)",12204,1019,488,3569,4465,795,722,604,542
"Yerno/ nuera (040)",562,4,,42,292,52,80,31,61
"Nieto(a) (041)",1631,360,141,614,386,44,26,45,15
"Padres/ suegros (042)",463,182,,228,37,3,7,3,3
"Otro(a) pariente (043)",1363,178,28,374,505,79,89,45,65
"Trabajador(a) del hogar (044)",37,5,1,7,21,3,,,
"Pensionista (045)",5,,,2,3,,,,
"Otro(a) no pariente (046)",319,22,3,98,114,30,27,10,15
