"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia QUISPICANCHI (000)",76430,4274,10718,11138,7812,12226,10145,14955,5162
"Sabe leer y escribir (001)",57364,,7585,11014,7627,10976,8159,9962,2041
"No sabe leer y escribir (002)",19066,4274,3133,124,185,1250,1986,4993,3121
"Hombres (004)",38488,2109,5418,5828,4092,6154,5148,7506,2233
"Sabe leer y escribir (005)",32307,,3850,5770,4049,5966,4791,6466,1415
"No sabe leer y escribir (006)",6181,2109,1568,58,43,188,357,1040,818
"Mujeres (008)",37942,2165,5300,5310,3720,6072,4997,7449,2929
"Sabe leer y escribir (009)",25057,,3735,5244,3578,5010,3368,3496,626
"No sabe leer y escribir (010)",12885,2165,1565,66,142,1062,1629,3953,2303
,,,,,,,,,
"URBANA (012)",27285,1245,3074,3625,3026,4724,4043,5598,1950
"Sabe leer y escribir (013)",23215,,2414,3598,3008,4550,3748,4753,1144
"No sabe leer y escribir (014)",4070,1245,660,27,18,174,295,845,806
"Hombres (016)",13743,614,1558,1914,1532,2359,2062,2863,841
"Sabe leer y escribir (017)",12422,,1224,1902,1522,2330,2011,2740,693
"No sabe leer y escribir (018)",1321,614,334,12,10,29,51,123,148
"Mujeres (020)",13542,631,1516,1711,1494,2365,1981,2735,1109
"Sabe leer y escribir (021)",10793,,1190,1696,1486,2220,1737,2013,451
"No sabe leer y escribir (022)",2749,631,326,15,8,145,244,722,658
,,,,,,,,,
"RURAL (024)",49145,3029,7644,7513,4786,7502,6102,9357,3212
"Sabe leer y escribir (025)",34149,,5171,7416,4619,6426,4411,5209,897
"No sabe leer y escribir (026)",14996,3029,2473,97,167,1076,1691,4148,2315
"Hombres (028)",24745,1495,3860,3914,2560,3795,3086,4643,1392
"Sabe leer y escribir (029)",19885,,2626,3868,2527,3636,2780,3726,722
"No sabe leer y escribir (030)",4860,1495,1234,46,33,159,306,917,670
"Mujeres (032)",24400,1534,3784,3599,2226,3707,3016,4714,1820
"Sabe leer y escribir (033)",14264,,2545,3548,2092,2790,1631,1483,175
"No sabe leer y escribir (034)",10136,1534,1239,51,134,917,1385,3231,1645
