"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ABANCAY (000)",95842,1710,31832,25828,17666,12811,5995
"Jefe o Jefa (001)",25940,,118,5368,8977,7892,3585
"Esposa(o) / compañera(o) (002)",14961,,66,3730,6091,3956,1118
"Hijo(a) / hijastro(a) (003)",41410,1263,26330,12049,1510,249,9
"Yerno / nuera (004)",910,,7,606,259,34,4
"Nieto(a) (005)",3475,316,2669,462,28,,
"Padres / suegros (006)",1193,,,,18,226,949
"Otro(a) pariente (007)",6340,120,2341,2745,534,343,257
"Trabajador(a) del hogar (008)",279,,41,205,18,12,3
"Pensionistas (009)",35,,1,26,4,1,3
"Otro(a) no pariente (010)",1299,11,259,637,227,98,67
"Hombres (011)",47481,868,16406,12686,8447,6302,2772
"Jefe o Jefa (012)",17734,,59,3377,6530,5516,2252
"Esposa(o) / compañera(o) (013)",1335,,46,408,459,316,106
"Hijo(a) / hijastro(a) (014)",21708,636,13561,6565,813,130,3
"Yerno / nuera (015)",441,,2,248,169,19,3
"Nieto(a) (016)",1794,162,1353,258,21,,
"Padres / suegros (017)",347,,,,8,68,271
"Otro(a) pariente (018)",3336,64,1235,1462,294,183,98
"Trabajador(a) del hogar (019)",39,,10,19,5,3,2
"Pensionistas (020)",16,,,12,2,1,1
"Otro(a) no pariente (021)",731,6,140,337,146,66,36
"Mujeres (022)",48361,842,15426,13142,9219,6509,3223
"Jefe o Jefa (023)",8206,,59,1991,2447,2376,1333
"Esposa(o) / compañera(o) (024)",13626,,20,3322,5632,3640,1012
"Hijo(a) / hijastro(a) (025)",19702,627,12769,5484,697,119,6
"Yerno / nuera (026)",469,,5,358,90,15,1
"Nieto(a) (027)",1681,154,1316,204,7,,
"Padres / suegros (028)",846,,,,10,158,678
"Otro(a) pariente (029)",3004,56,1106,1283,240,160,159
"Trabajador(a) del hogar (030)",240,,31,186,13,9,1
"Pensionistas (031)",19,,1,14,2,,2
"Otro(a) no pariente (032)",568,5,119,300,81,32,31
,,,,,,,
"URBANA (033)",60601,1051,19061,18446,11689,7443,2911
"Jefe o Jefa (034)",16408,,104,4040,5986,4689,1589
"Esposa(o) / compañera(o) (035)",8599,,46,2307,3729,2069,448
"Hijo(a) / hijastro(a) (036)",25254,759,15124,8123,1090,152,6
"Yerno / nuera (037)",603,,4,371,200,26,2
"Nieto(a) (038)",2269,204,1687,358,20,,
"Padres / suegros (039)",837,,,,16,172,649
"Otro(a) pariente (040)",5252,78,1852,2461,437,252,172
"Trabajador(a) del hogar (041)",251,,37,191,14,8,1
"Pensionistas (042)",31,,1,23,4,1,2
"Otro(a) no pariente (043)",1097,10,206,572,193,74,42
"Hombres (044)",29513,521,9744,8861,5460,3635,1292
"Jefe o Jefa (045)",10636,,53,2370,4095,3149,969
"Esposa(o) / compañera(o) (046)",857,,32,314,292,161,58
"Hijo(a) / hijastro(a) (047)",12980,372,7757,4220,550,78,3
"Yerno / nuera (048)",303,,1,152,133,15,2
"Nieto(a) (049)",1135,101,826,193,15,,
"Padres / suegros (050)",243,,,,7,54,182
"Otro(a) pariente (051)",2730,42,961,1297,243,130,57
"Trabajador(a) del hogar (052)",24,,7,13,2,2,
"Pensionistas (053)",14,,,10,2,1,1
"Otro(a) no pariente (054)",591,6,107,292,121,45,20
"Mujeres (055)",31088,530,9317,9585,6229,3808,1619
"Jefe o Jefa (056)",5772,,51,1670,1891,1540,620
"Esposa(o) / compañera(o) (057)",7742,,14,1993,3437,1908,390
"Hijo(a) / hijastro(a) (058)",12274,387,7367,3903,540,74,3
"Yerno / nuera (059)",300,,3,219,67,11,
"Nieto(a) (060)",1134,103,861,165,5,,
"Padres / suegros (061)",594,,,,9,118,467
"Otro(a) pariente (062)",2522,36,891,1164,194,122,115
"Trabajador(a) del hogar (063)",227,,30,178,12,6,1
"Pensionistas (064)",17,,1,13,2,,1
"Otro(a) no pariente (065)",506,4,99,280,72,29,22
,,,,,,,
"RURAL (066)",35241,659,12771,7382,5977,5368,3084
"Jefe o Jefa (067)",9532,,14,1328,2991,3203,1996
"Esposa(o) / compañera(o) (068)",6362,,20,1423,2362,1887,670
"Hijo(a) / hijastro(a) (069)",16156,504,11206,3926,420,97,3
"Yerno / nuera (070)",307,,3,235,59,8,2
"Nieto(a) (071)",1206,112,982,104,8,,
"Padres / suegros (072)",356,,,,2,54,300
"Otro(a) pariente (073)",1088,42,489,284,97,91,85
"Trabajador(a) del hogar (074)",28,,4,14,4,4,2
"Pensionistas (075)",4,,,3,,,1
"Otro(a) no pariente (076)",202,1,53,65,34,24,25
"Hombres (077)",17968,347,6662,3825,2987,2667,1480
"Jefe o Jefa (078)",7098,,6,1007,2435,2367,1283
"Esposa(o) / compañera(o) (079)",478,,14,94,167,155,48
"Hijo(a) / hijastro(a) (080)",8728,264,5804,2345,263,52,
"Yerno / nuera (081)",138,,1,96,36,4,1
"Nieto(a) (082)",659,61,527,65,6,,
"Padres / suegros (083)",104,,,,1,14,89
"Otro(a) pariente (084)",606,22,274,165,51,53,41
"Trabajador(a) del hogar (085)",15,,3,6,3,1,2
"Pensionistas (086)",2,,,2,,,
"Otro(a) no pariente (087)",140,,33,45,25,21,16
"Mujeres (088)",17273,312,6109,3557,2990,2701,1604
"Jefe o Jefa (089)",2434,,8,321,556,836,713
"Esposa(o) / compañera(o) (090)",5884,,6,1329,2195,1732,622
"Hijo(a) / hijastro(a) (091)",7428,240,5402,1581,157,45,3
"Yerno / nuera (092)",169,,2,139,23,4,1
"Nieto(a) (093)",547,51,455,39,2,,
"Padres / suegros (094)",252,,,,1,40,211
"Otro(a) pariente (095)",482,20,215,119,46,38,44
