"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MARAÑON (000)",24541,13036,1083,87,10361
"Sin Nivel (001)",5295,2895,76,3,2324
"Educación Inicial (002)",883,741,38,6,105
"Primaria (003)",12653,7368,297,20,4983
"Secundaria (004)",4611,1907,209,17,2479
"Sup. no Univ. Incompleta (005)",170,31,32,5,102
"Sup. no Univ. Completa (006)",402,42,211,12,137
"Sup. Univ. Incompleta (007)",242,31,45,10,156
"Sup. Univ. Completa (008)",285,21,175,14,75
"Hombres (010)",12610,6364,571,67,5625
"Sin Nivel (011)",1782,1114,29,2,638
"Educación Inicial (012)",470,398,19,4,54
"Primaria (013)",6883,3756,149,15,2973
"Secundaria (014)",2814,1027,101,14,1673
"Sup. no Univ. Incompleta (015)",100,18,18,2,62
"Sup. no Univ. Completa (016)",224,25,119,8,72
"Sup. Univ. Incompleta (017)",153,18,24,9,102
"Sup. Univ. Completa (018)",184,8,112,13,51
"Mujeres (020)",11931,6672,512,20,4736
"Sin Nivel (021)",3513,1781,47,1,1686
"Educación Inicial (022)",413,343,19,2,51
"Primaria (023)",5770,3612,148,5,2010
"Secundaria (024)",1797,880,108,3,806
"Sup. no Univ. Incompleta (025)",70,13,14,3,40
"Sup. no Univ. Completa (026)",178,17,92,4,65
"Sup. Univ. Incompleta (027)",89,13,21,1,54
"Sup. Univ. Completa (028)",101,13,63,1,24
,,,,,
"URBANA (030)",3779,1568,679,47,1488
"Sin Nivel (031)",441,226,35,2,178
"Educación Inicial (032)",128,81,22,,25
"Primaria (033)",1507,800,166,3,541
"Secundaria (034)",1068,412,131,11,514
"Sup. no Univ. Incompleta (035)",65,7,23,3,32
"Sup. no Univ. Completa (036)",218,16,136,7,59
"Sup. Univ. Incompleta (037)",152,12,34,10,96
"Sup. Univ. Completa (038)",200,14,132,11,43
"Hombres (040)",1971,781,360,41,791
"Sin Nivel (041)",145,87,13,2,43
"Educación Inicial (042)",68,44,11,,13
"Primaria (043)",798,413,89,3,295
"Secundaria (044)",584,209,61,11,303
"Sup. no Univ. Incompleta (045)",35,2,12,2,19
"Sup. no Univ. Completa (046)",113,11,73,3,26
"Sup. Univ. Incompleta (047)",98,9,19,9,61
"Sup. Univ. Completa (048)",130,6,82,11,31
"Mujeres (050)",1808,787,319,6,697
"Sin Nivel (051)",296,139,22,,135
"Educación Inicial (052)",60,37,11,,12
"Primaria (053)",709,387,77,,246
"Secundaria (054)",484,203,70,,211
"Sup. no Univ. Incompleta (055)",30,5,11,1,13
"Sup. no Univ. Completa (056)",105,5,63,4,33
"Sup. Univ. Incompleta (057)",54,3,15,1,35
"Sup. Univ. Completa (058)",70,8,50,,12
,,,,,
"RURAL (060)",20762,11468,404,40,8873
"Sin Nivel (061)",4854,2669,41,1,2146
"Educación Inicial (062)",755,660,16,6,80
"Primaria (063)",11146,6568,131,17,4442
"Secundaria (064)",3543,1495,78,6,1965
"Sup. no Univ. Incompleta (065)",105,24,9,2,70
"Sup. no Univ. Completa (066)",184,26,75,5,78
"Sup. Univ. Incompleta (067)",90,19,11,,60
"Sup. Univ. Completa (068)",85,7,43,3,32
"Hombres (070)",10639,5583,211,26,4834
"Sin Nivel (071)",1637,1027,16,,595
"Educación Inicial (072)",402,354,8,4,41
"Primaria (073)",6085,3343,60,12,2678
"Secundaria (074)",2230,818,40,3,1370
"Sup. no Univ. Incompleta (075)",65,16,6,,43
"Sup. no Univ. Completa (076)",111,14,46,5,46
"Sup. Univ. Incompleta (077)",55,9,5,,41
"Sup. Univ. Completa (078)",54,2,30,2,20
"Mujeres (080)",10123,5885,193,14,4039
"Sin Nivel (081)",3217,1642,25,1,1551
"Educación Inicial (082)",353,306,8,2,39
"Primaria (083)",5061,3225,71,5,1764
"Secundaria (084)",1313,677,38,3,595
"Sup. no Univ. Incompleta (085)",40,8,3,2,27
"Sup. no Univ. Completa (086)",73,12,29,,32
"Sup. Univ. Incompleta (087)",35,10,6,,19
"Sup. Univ. Completa (088)",31,5,13,1,12
