"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CASMA (000)",10377,7937,2440
"Red pública dentro de la vivienda (001)",6398,5724,674
"Red pública fuera de la vivienda (002)",479,375,104
"Pilón de uso público (003)",1135,571,564
"Camión - cisterna u otro similar (004)",102,30,72
"Pozo (005)",1169,741,428
"Río, acequia, manatial o similar (006)",761,358,403
"Vecino (007)",269,117,152
"Otro (008)",64,21,43
,,,
"URBANA (010)",7135,5958,1177
"Red pública dentro de la vivienda (011)",5358,4948,410
"Red pública fuera de la vivienda (012)",180,149,31
"Pilón de uso público (013)",1107,560,547
"Camión - cisterna u otro similar (014)",46,27,19
"Pozo (015)",246,197,49
"Río, acequia, manatial o similar (016)",6,2,4
"Vecino (017)",149,60,89
"Otro (018)",43,15,28
,,,
"RURAL (020)",3242,1979,1263
"Red pública dentro de la vivienda (021)",1040,776,264
"Red pública fuera de la vivienda (022)",299,226,73
"Pilón de uso público (023)",28,11,17
"Camión - cisterna u otro similar (024)",56,3,53
"Pozo (025)",923,544,379
"Río, acequia, manatial o similar (026)",755,356,399
"Vecino (027)",120,57,63
"Otro (028)",21,6,15
