"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia REQUENA",,,,,,,,,
"Viviendas particulares (001)",12133,1747,60,16,10,3317,6432,349,202
"Ocupantes presentes (002)",64780,9675,293,80,46,18028,33878,1795,985
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",10130,1658,51,16,8,3173,4690,343,191
"Ocupantes presentes (005)",54479,9309,267,80,42,17328,24794,1758,901
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",5,5,,,,,,,
"Ocupantes presentes (008)",13,13,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",72,66,5,,,,,1,
"Ocupantes presentes (011)",291,273,14,,,,,4,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",6,2,,,1,3,,,
"Ocupantes presentes (014)",25,10,,,3,12,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1837,,,,,101,1725,,11
"Ocupantes presentes (017)",9614,,,,,524,9006,,84
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",58,14,1,,1,35,2,5,
"Ocupantes presentes (020)",252,60,1,,1,145,12,33,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",15,2,3,,,5,5,,
"Ocupantes presentes (023)",52,10,11,,,19,12,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",10,,,,,,10,,
"Ocupantes presentes (026)",54,,,,,,54,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",6785,1746,59,15,9,3014,1486,348,108
"Ocupantes presentes (029)",36704,9670,291,74,38,16401,7975,1794,461
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",6632,1657,50,15,7,2971,1482,342,108
"Ocupantes presentes (032)",36073,9304,265,74,34,16225,7953,1757,461
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",5,5,,,,,,,
"Ocupantes presentes (035)",13,13,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",72,66,5,,,,,1,
"Ocupantes presentes (038)",291,273,14,,,,,4,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",6,2,,,1,3,,,
"Ocupantes presentes (041)",25,10,,,3,12,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",58,14,1,,1,35,2,5,
"Ocupantes presentes (047)",252,60,1,,1,145,12,33,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",10,2,3,,,5,,,
"Ocupantes presentes (050)",40,10,11,,,19,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",2,,,,,,2,,
"Ocupantes presentes (053)",10,,,,,,10,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",5348,1,1,1,1,303,4946,1,94
"Ocupantes presentes (056)",28076,5,2,6,8,1627,25903,1,524
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",3498,1,1,1,1,202,3208,1,83
"Ocupantes presentes (059)",18406,5,2,6,8,1103,16841,1,440
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1837,,,,,101,1725,,11
"Ocupantes presentes (071)",9614,,,,,524,9006,,84
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",5,,,,,,5,,
"Ocupantes presentes (077)",12,,,,,,12,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",8,,,,,,8,,
"Ocupantes presentes (080)",44,,,,,,44,,
