"CUADRO Nº 4: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZAN EN EL HOGAR PARA COCINAR SUS ALIMENTOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZA PARA COCINAR",,,,,,,"NO COCINAN"
,,ELECTRICIDAD,GAS,KEROSENE,CARBÓN,LEÑA,"BOSTA, ESTIÉRCOL",OTRO,
,,,,,,,,,
"Provincia DATEM DEL MARAÑON",,,,,,,,,
"Hogares (001)",8777,9,518,43,47,8063,4,2,91
"Ocupantes presentes (002)",48859,29,2110,199,242,46045,37,10,187
"Casa independiente",,,,,,,,,
"Hogares (004)",8103,8,451,43,45,7479,4,2,71
"Ocupantes presentes (005)",45218,23,1863,199,232,42710,37,10,144
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",68,1,52,,,,,,15
"Ocupantes presentes (011)",234,6,195,,,,,,33
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",21,,1,,1,18,,,1
"Ocupantes presentes (014)",87,,3,,3,78,,,3
"Choza o cabaña",,,,,,,,,
"Hogares (016)",556,,9,,1,545,,,1
"Ocupantes presentes (017)",3190,,28,,7,3153,,,2
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",15,,3,,,11,,,1
"Ocupantes presentes (020)",70,,14,,,54,,,2
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",7,,2,,,3,,,2
"Ocupantes presentes (023)",21,,7,,,11,,,3
"Otro tipo",,,,,,,,,
"Hogares (025)",7,,,,,7,,,
"Ocupantes presentes (026)",39,,,,,39,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",2586,8,463,16,27,2010,1,1,60
"Ocupantes presentes (029)",13371,25,1893,81,126,11127,5,4,110
"Casa independiente",,,,,,,,,
"Hogares (031)",2479,7,406,16,26,1981,1,1,41
"Ocupantes presentes (032)",12972,19,1676,81,123,10995,5,4,69
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",68,1,52,,,,,,15
"Ocupantes presentes (038)",234,6,195,,,,,,33
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",21,,1,,1,18,,,1
"Ocupantes presentes (041)",87,,3,,3,78,,,3
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",15,,3,,,11,,,1
"Ocupantes presentes (047)",70,,14,,,54,,,2
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",3,,1,,,,,,2
"Ocupantes presentes (050)",8,,5,,,,,,3
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",6191,1,55,27,20,6053,3,1,31
"Ocupantes presentes (056)",35488,4,217,118,116,34918,32,6,77
"Casa independiente",,,,,,,,,
"Hogares (058)",5624,1,45,27,19,5498,3,1,30
"Ocupantes presentes (059)",32246,4,187,118,109,31715,32,6,75
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",556,,9,,1,545,,,1
"Ocupantes presentes (071)",3190,,28,,7,3153,,,2
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",4,,1,,,3,,,
"Ocupantes presentes (077)",13,,2,,,11,,,
"Otro tipo",,,,,,,,,
"Hogares (079)",7,,,,,7,,,
"Ocupantes presentes (080)",39,,,,,39,,,
