"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia MOHO",,,,,,,,,
"Viviendas particulares (001)",536,348,62,35,45,4,3,1,38
"Ocupantes presentes (002)",1531,966,185,96,121,20,8,7,128
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",531,345,61,35,44,4,3,1,38
"Ocupantes presentes (005)",1519,960,183,96,117,20,8,7,128
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",2,1,,,1,,,,
"Ocupantes presentes (014)",6,2,,,4,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",2,2,,,,,,,
"Ocupantes presentes (017)",4,4,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,,1,,,,,,
"Ocupantes presentes (023)",2,,2,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",141,93,17,6,16,2,1,,6
"Ocupantes presentes (029)",379,232,56,14,45,7,1,,24
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",139,92,17,6,15,2,1,,6
"Ocupantes presentes (032)",373,230,56,14,41,7,1,,24
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",2,1,,,1,,,,
"Ocupantes presentes (041)",6,2,,,4,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",395,255,45,29,29,2,2,1,32
"Ocupantes presentes (056)",1152,734,129,82,76,13,7,7,104
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",392,253,44,29,29,2,2,1,32
"Ocupantes presentes (059)",1146,730,127,82,76,13,7,7,104
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",2,2,,,,,,,
"Ocupantes presentes (071)",4,4,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,1,,,,,,
"Ocupantes presentes (077)",2,,2,,,,,,
"Otro tipo",,,,,,,,,
