"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CAJABAMBA (000)",62984,9081,1027,39601,9318,1024,1977,279,677
"Hombres (001)",30896,2436,518,20606,5412,484,909,144,387
"Mujeres (002)",32088,6645,509,18995,3906,540,1068,135,290
"PEA (003)",22020,2236,25,13828,3339,427,1499,120,546
"Hombres (004)",17594,1556,21,11874,2688,267,784,73,331
"Mujeres (005)",4426,680,4,1954,651,160,715,47,215
"Ocupada (006)",21089,2153,25,13237,3179,410,1442,117,526
"Hombres (007)",16909,1495,21,11440,2553,254,753,72,321
"Mujeres (008)",4180,658,4,1797,626,156,689,45,205
"Desocupada (009)",931,83,,591,160,17,57,3,20
"Hombres (010)",685,61,,434,135,13,31,1,10
"Mujeres (011)",246,22,,157,25,4,26,2,10
"No PEA (012)",40964,6845,1002,25773,5979,597,478,159,131
"Hombres (013)",13302,880,497,8732,2724,217,125,71,56
"Mujeres (014)",27662,5965,505,17041,3255,380,353,88,75
,,,,,,,,,
"URBANA (018)",15994,1140,274,6902,4383,771,1687,231,606
"Hombres (019)",7503,256,156,3166,2351,364,759,118,333
"Mujeres (020)",8491,884,118,3736,2032,407,928,113,273
"PEA (021)",6142,281,11,2021,1629,329,1274,107,490
"Hombres (022)",3818,115,9,1327,1162,208,650,62,285
"Mujeres (023)",2324,166,2,694,467,121,624,45,205
"Ocupada (024)",5854,264,11,1921,1539,316,1228,104,471
"Hombres (025)",3601,101,9,1248,1083,198,625,61,276
"Mujeres (026)",2253,163,2,673,456,118,603,43,195
"Desocupada (027)",288,17,,100,90,13,46,3,19
"Hombres (028)",217,14,,79,79,10,25,1,9
"Mujeres (029)",71,3,,21,11,3,21,2,10
"No PEA (030)",9852,859,263,4881,2754,442,413,124,116
"Hombres (031)",3685,141,147,1839,1189,156,109,56,48
"Mujeres (032)",6167,718,116,3042,1565,286,304,68,68
,,,,,,,,,
"RURAL (036)",46990,7941,753,32699,4935,253,290,48,71
"Hombres (037)",23393,2180,362,17440,3061,120,150,26,54
"Mujeres (038)",23597,5761,391,15259,1874,133,140,22,17
"PEA (039)",15878,1955,14,11807,1710,98,225,13,56
"Hombres (040)",13776,1441,12,10547,1526,59,134,11,46
"Mujeres (041)",2102,514,2,1260,184,39,91,2,10
"Ocupada (042)",15235,1889,14,11316,1640,94,214,13,55
"Hombres (043)",13308,1394,12,10192,1470,56,128,11,45
"Mujeres (044)",1927,495,2,1124,170,38,86,2,10
"Desocupada (045)",643,66,,491,70,4,11,,1
"Hombres (046)",468,47,,355,56,3,6,,1
"Mujeres (047)",175,19,,136,14,1,5,,
"No PEA (048)",31112,5986,739,20892,3225,155,65,35,15
"Hombres (049)",9617,739,350,6893,1535,61,16,15,8
"Mujeres (050)",21495,5247,389,13999,1690,94,49,20,7
