"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHICLAYO (000)",715922,100073,163702,47521,407364
"Quechua (001)",1703,181,216,104,1214
"Aymara (002)",268,41,43,36,164
"Asháninka (003)",82,20,16,27,32
"Otra lengua nativa (004)",954,90,203,105,561
"Castellano (005)",712009,99634,163049,47153,404863
"Idioma Extranjero (006)",163,4,30,60,70
"Es Sordomudo/a (007)",743,103,145,36,460
"Hombres (009)",344266,43713,76716,25279,200104
"Quechua (010)",811,75,119,60,562
"Aymara (011)",138,18,21,15,90
"Asháninka (012)",33,9,9,8,11
"Otra lengua nativa (013)",482,42,94,72,277
"Castellano (014)",342301,43505,76378,25069,198876
"Idioma Extranjero (015)",96,4,13,37,43
"Es Sordomudo/a (016)",405,60,82,18,245
"Mujeres (018)",371656,56360,86986,22242,207260
"Quechua (019)",892,106,97,44,652
"Aymara (020)",130,23,22,21,74
"Asháninka (021)",49,11,7,19,21
"Otra lengua nativa (022)",472,48,109,33,284
"Castellano (023)",369708,56129,86671,22084,205987
"Idioma Extranjero (024)",67,,17,23,27
"Es Sordomudo/a (025)",338,43,63,18,215
,,,,,
"URBANA (027)",669662,89561,157111,46332,379358
"Quechua (028)",1669,173,214,101,1193
"Aymara (029)",262,39,42,34,161
"Asháninka (030)",79,19,15,26,31
"Otra lengua nativa (031)",950,88,203,104,559
"Castellano (032)",665868,89148,156471,45972,376933
"Idioma Extranjero (033)",163,4,30,60,70
"Es Sordomudo/a (034)",671,90,136,35,411
"Hombres (036)",320625,38955,73290,24621,185277
"Quechua (037)",795,73,119,58,550
"Aymara (038)",135,17,21,14,88
"Asháninka (039)",32,9,8,8,11
"Otra lengua nativa (040)",482,42,94,72,277
"Castellano (041)",318726,38761,72958,24414,184093
"Idioma Extranjero (042)",96,4,13,37,43
"Es Sordomudo/a (043)",359,49,77,18,215
"Mujeres (045)",349037,50606,83821,21711,194081
"Quechua (046)",874,100,95,43,643
"Aymara (047)",127,22,21,20,73
"Asháninka (048)",47,10,7,18,20
"Otra lengua nativa (049)",468,46,109,32,282
"Castellano (050)",347142,50387,83513,21558,192840
"Idioma Extranjero (051)",67,,17,23,27
"Es Sordomudo/a (052)",312,41,59,17,196
,,,,,
"RURAL (054)",46260,10512,6591,1189,28006
"Quechua (055)",34,8,2,3,21
"Aymara (056)",6,2,1,2,3
"Asháninka (057)",3,1,1,1,1
"Otra lengua nativa (058)",4,2,,1,2
"Castellano (059)",46141,10486,6578,1181,27930
"Es Sordomudo/a (061)",72,13,9,1,49
"Hombres (063)",23641,4758,3426,658,14827
"Quechua (064)",16,2,,2,12
"Aymara (065)",3,1,,1,2
"Asháninka (066)",1,,1,,
"Castellano (068)",23575,4744,3420,655,14783
"Es Sordomudo/a (070)",46,11,5,,30
"Mujeres (072)",22619,5754,3165,531,13179
"Quechua (073)",18,6,2,1,9
"Aymara (074)",3,1,1,1,1
"Asháninka (075)",2,1,,1,1
"Otra lengua nativa (076)",4,2,,1,2
"Castellano (077)",22566,5742,3158,526,13147
"Es Sordomudo/a (079)",26,2,4,1,19
