"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia OYON (000)",15318,2238,2578,3313,2707,1776,2706
"Católica (001)",12188,1790,2062,2689,2205,1395,2047
"Cristiana/Evangélica (002)",2537,338,389,485,417,342,566
"Otra (003)",239,32,43,50,28,21,65
"Ninguna (004)",354,78,84,89,57,18,28
"Hombres (006)",8169,1158,1321,1905,1504,970,1311
"Católica (007)",6633,947,1076,1578,1252,779,1001
"Cristiana/Evangélica (008)",1189,150,174,238,199,164,264
"Otra (009)",128,16,23,29,14,14,32
"Ninguna (010)",219,45,48,60,39,13,14
"Mujeres (012)",7149,1080,1257,1408,1203,806,1395
"Católica (013)",5555,843,986,1111,953,616,1046
"Cristiana/Evangélica (014)",1348,188,215,247,218,178,302
"Otra (015)",111,16,20,21,14,7,33
"Ninguna (016)",135,33,36,29,18,5,14
,,,,,,,
"URBANA (018)",9554,1552,1634,1975,1633,1028,1732
"Católica (019)",7494,1220,1299,1568,1303,803,1301
"Cristiana/Evangélica (020)",1703,266,260,323,284,202,368
"Otra (021)",138,15,27,27,14,11,44
"Ninguna (022)",219,51,48,57,32,12,19
"Hombres (024)",4574,771,753,946,797,502,805
"Católica (025)",3635,617,605,759,650,402,602
"Cristiana/Evangélica (026)",741,117,111,137,119,84,173
"Otra (027)",65,7,11,13,6,7,21
"Ninguna (028)",133,30,26,37,22,9,9
"Mujeres (030)",4980,781,881,1029,836,526,927
"Católica (031)",3859,603,694,809,653,401,699
"Cristiana/Evangélica (032)",962,149,149,186,165,118,195
"Otra (033)",73,8,16,14,8,4,23
"Ninguna (034)",86,21,22,20,10,3,10
,,,,,,,
"RURAL (036)",5764,686,944,1338,1074,748,974
"Católica (037)",4694,570,763,1121,902,592,746
"Cristiana/Evangélica (038)",834,72,129,162,133,140,198
"Otra (039)",101,17,16,23,14,10,21
"Ninguna (040)",135,27,36,32,25,6,9
"Hombres (042)",3595,387,568,959,707,468,506
"Católica (043)",2998,330,471,819,602,377,399
"Cristiana/Evangélica (044)",448,33,63,101,80,80,91
"Otra (045)",63,9,12,16,8,7,11
"Ninguna (046)",86,15,22,23,17,4,5
"Mujeres (048)",2169,299,376,379,367,280,468
"Católica (049)",1696,240,292,302,300,215,347
"Cristiana/Evangélica (050)",386,39,66,61,53,60,107
"Otra (051)",38,8,4,7,6,3,10
"Ninguna (052)",49,12,14,9,8,2,4
