"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CANTA (000)",12007,2329,3310,2563,2222,1583
"Hombres (001)",6312,1153,1790,1356,1217,796
"Mujeres (002)",5695,1176,1520,1207,1005,787
"PEA (003)",6156,102,1859,1922,1609,664
"Hombres (004)",4189,67,1307,1265,1081,469
"Mujeres (005)",1967,35,552,657,528,195
"Ocupada (006)",6008,95,1784,1890,1583,656
"Hombres (007)",4072,61,1250,1237,1062,462
"Mujeres (008)",1936,34,534,653,521,194
"Desocupada (009)",148,7,75,32,26,8
"Hombres (010)",117,6,57,28,19,7
"Mujeres (011)",31,1,18,4,7,1
"No PEA (012)",5851,2227,1451,641,613,919
"Hombres (013)",2123,1086,483,91,136,327
"Mujeres (014)",3728,1141,968,550,477,592
,,,,,,
"URBANA (018)",5817,1095,1373,1167,1202,980
"Hombres (019)",2986,543,745,590,623,485
"Mujeres (020)",2831,552,628,577,579,495
"PEA (021)",2956,51,767,884,849,405
"Hombres (022)",1897,30,517,534,540,276
"Mujeres (023)",1059,21,250,350,309,129
"Ocupada (024)",2887,48,729,870,839,401
"Hombres (025)",1845,28,488,524,533,272
"Mujeres (026)",1042,20,241,346,306,129
"Desocupada (027)",69,3,38,14,10,4
"Hombres (028)",52,2,29,10,7,4
"Mujeres (029)",17,1,9,4,3,
"No PEA (030)",2861,1044,606,283,353,575
"Hombres (031)",1089,513,228,56,83,209
"Mujeres (032)",1772,531,378,227,270,366
,,,,,,
"RURAL (036)",6190,1234,1937,1396,1020,603
"Hombres (037)",3326,610,1045,766,594,311
"Mujeres (038)",2864,624,892,630,426,292
"PEA (039)",3200,51,1092,1038,760,259
"Hombres (040)",2292,37,790,731,541,193
"Mujeres (041)",908,14,302,307,219,66
"Ocupada (042)",3121,47,1055,1020,744,255
"Hombres (043)",2227,33,762,713,529,190
"Mujeres (044)",894,14,293,307,215,65
"Desocupada (045)",79,4,37,18,16,4
"Hombres (046)",65,4,28,18,12,3
"Mujeres (047)",14,,9,,4,1
"No PEA (048)",2990,1183,845,358,260,344
"Hombres (049)",1034,573,255,35,53,118
"Mujeres (050)",1956,610,590,323,207,226
