"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia TAYACAJA",,,,,,,,,
"Hogares (001)",25935,451,219,149,133,76,76,72,24759
"Ocupantes presentes (002)",104406,1362,617,501,530,369,346,414,100267
"Casa independiente",,,,,,,,,
"Hogares (004)",24560,439,210,143,130,76,70,69,23423
"Ocupantes presentes (005)",98964,1328,599,488,521,369,326,397,94936
"Departamento en edificio",,,,,,,,,
"Hogares (007)",3,,,,,,,,3
"Ocupantes presentes (008)",12,,,,,,,,12
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",85,3,1,,3,,,,78
"Ocupantes presentes (011)",330,8,2,,9,,,,311
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",160,6,4,3,,,2,2,143
"Ocupantes presentes (014)",618,14,8,7,,,4,10,575
"Choza o cabaña",,,,,,,,,
"Hogares (016)",1098,3,4,2,,,4,1,1084
"Ocupantes presentes (017)",4415,12,8,5,,,16,7,4367
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",10,,,,,,,,10
"Ocupantes presentes (020)",33,,,,,,,,33
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",17,,,1,,,,,16
"Ocupantes presentes (023)",30,,,1,,,,,29
"Otro tipo",,,,,,,,,
"Hogares (025)",2,,,,,,,,2
"Ocupantes presentes (026)",4,,,,,,,,4
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",6521,244,117,76,69,43,31,38,5903
"Ocupantes presentes (029)",25197,757,330,267,282,215,136,197,23013
"Casa independiente",,,,,,,,,
"Hogares (031)",6254,235,112,73,66,43,29,36,5660
"Ocupantes presentes (032)",24195,735,320,260,273,215,132,187,22073
"Departamento en edificio",,,,,,,,,
"Hogares (034)",3,,,,,,,,3
"Ocupantes presentes (035)",12,,,,,,,,12
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",85,3,1,,3,,,,78
"Ocupantes presentes (038)",330,8,2,,9,,,,311
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",160,6,4,3,,,2,2,143
"Ocupantes presentes (041)",618,14,8,7,,,4,10,575
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",10,,,,,,,,10
"Ocupantes presentes (047)",33,,,,,,,,33
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",9,,,,,,,,9
"Ocupantes presentes (050)",9,,,,,,,,9
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",19414,207,102,73,64,33,45,34,18856
"Ocupantes presentes (056)",79209,605,287,234,248,154,210,217,77254
"Casa independiente",,,,,,,,,
"Hogares (058)",18306,204,98,70,64,33,41,33,17763
"Ocupantes presentes (059)",74769,593,279,228,248,154,194,210,72863
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",1098,3,4,2,,,4,1,1084
"Ocupantes presentes (071)",4415,12,8,5,,,16,7,4367
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",8,,,1,,,,,7
"Ocupantes presentes (077)",21,,,1,,,,,20
"Otro tipo",,,,,,,,,
"Hogares (079)",2,,,,,,,,2
"Ocupantes presentes (080)",4,,,,,,,,4
