"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia URUBAMBA (000)",49984,4426,548,19555,17069,2259,2305,1472,2350
"Hombres (001)",25438,1064,284,9819,9657,1280,1195,916,1223
"Mujeres (002)",24546,3362,264,9736,7412,979,1110,556,1127
"PEA (003)",20210,1286,11,5804,8260,1102,1764,574,1409
"Hombres (004)",13743,646,6,4157,5964,724,999,403,844
"Mujeres (005)",6467,640,5,1647,2296,378,765,171,565
"Ocupada (006)",19685,1265,9,5695,7994,1067,1716,557,1382
"Hombres (007)",13371,631,4,4072,5767,704,972,394,827
"Mujeres (008)",6314,634,5,1623,2227,363,744,163,555
"Desocupada (009)",525,21,2,109,266,35,48,17,27
"Hombres (010)",372,15,2,85,197,20,27,9,17
"Mujeres (011)",153,6,,24,69,15,21,8,10
"No PEA (012)",29774,3140,537,13751,8809,1157,541,898,941
"Hombres (013)",11695,418,278,5662,3693,556,196,513,379
"Mujeres (014)",18079,2722,259,8089,5116,601,345,385,562
,,,,,,,,,
"URBANA (018)",24821,1023,256,7581,9174,1564,1867,1246,2110
"Hombres (019)",12575,228,116,3650,4958,876,942,747,1058
"Mujeres (020)",12246,795,140,3931,4216,688,925,499,1052
"PEA (021)",11520,366,5,2215,4883,849,1463,501,1238
"Hombres (022)",6927,119,2,1260,3152,540,794,338,722
"Mujeres (023)",4593,247,3,955,1731,309,669,163,516
"Ocupada (024)",11185,362,5,2158,4718,820,1423,487,1212
"Hombres (025)",6720,118,2,1224,3041,524,774,331,706
"Mujeres (026)",4465,244,3,934,1677,296,649,156,506
"Desocupada (027)",335,4,,57,165,29,40,14,26
"Hombres (028)",207,1,,36,111,16,20,7,16
"Mujeres (029)",128,3,,21,54,13,20,7,10
"No PEA (030)",13301,657,251,5366,4291,715,404,745,872
"Hombres (031)",5648,109,114,2390,1806,336,148,409,336
"Mujeres (032)",7653,548,137,2976,2485,379,256,336,536
,,,,,,,,,
"RURAL (036)",25163,3403,292,11974,7895,695,438,226,240
"Hombres (037)",12863,836,168,6169,4699,404,253,169,165
"Mujeres (038)",12300,2567,124,5805,3196,291,185,57,75
"PEA (039)",8690,920,6,3589,3377,253,301,73,171
"Hombres (040)",6816,527,4,2897,2812,184,205,65,122
"Mujeres (041)",1874,393,2,692,565,69,96,8,49
"Ocupada (042)",8500,903,4,3537,3276,247,293,70,170
"Hombres (043)",6651,513,2,2848,2726,180,198,63,121
"Mujeres (044)",1849,390,2,689,550,67,95,7,49
"Desocupada (045)",190,17,2,52,101,6,8,3,1
"Hombres (046)",165,14,2,49,86,4,7,2,1
"Mujeres (047)",25,3,,3,15,2,1,1,
"No PEA (048)",16473,2483,286,8385,4518,442,137,153,69
"Hombres (049)",6047,309,164,3272,1887,220,48,104,43
"Mujeres (050)",10426,2174,122,5113,2631,222,89,49,26
