"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",47383,2287,9617,11307,9463,6594,3706,2225,2184
"Quechua (001)",28537,670,3842,6167,6423,4945,2896,1788,1806
"Aymara (002)",4439,137,823,927,827,646,430,332,317
"Ashaninca (003)",15,1,3,2,3,1,4,1,
"Otra lengua nativa (004)",24,1,4,11,4,3,1,,
"Castellano (005)",14328,1472,4934,4192,2201,994,371,104,60
"Idioma extranjero (006)",1,,1,,,,,,
"Es sordomudo/a (007)",39,6,10,8,5,5,4,,1
"Hombres (009)",25278,1166,4903,5850,5258,3749,2095,1195,1062
"Quechua (010)",15047,329,1910,3149,3460,2768,1595,954,882
"Aymara (011)",2299,71,425,485,450,340,228,163,137
"Ashaninca (012)",9,,3,1,1,,3,1,
"Otra lengua nativa (013)",15,1,1,8,4,1,,,
"Castellano (014)",7884,761,2555,2207,1339,635,268,77,42
"Es sordomudo/a (016)",24,4,9,,4,5,1,,1
"Mujeres (018)",22105,1121,4714,5457,4205,2845,1611,1030,1122
"Quechua (019)",13490,341,1932,3018,2963,2177,1301,834,924
"Aymara (020)",2140,66,398,442,377,306,202,169,180
"Ashaninca (021)",6,1,,1,2,1,1,,
"Otra lengua nativa (022)",9,,3,3,,2,1,,
"Castellano (023)",6444,711,2379,1985,862,359,103,27,18
"Idioma extranjero (024)",1,,1,,,,,,
"Es sordomudo/a (025)",15,2,1,8,1,,3,,
,,,,,,,,,
"URBANA (027)",31556,1549,6098,7889,6863,4691,2358,1153,955
"Quechua (028)",17307,255,1567,3839,4500,3449,1849,984,864
"Aymara (029)",1554,16,149,353,427,324,166,77,42
"Ashaninca (030)",14,1,2,2,3,1,4,1,
"Otra lengua nativa (031)",21,1,3,9,4,3,1,,
"Castellano (032)",12639,1272,4372,3680,1925,913,337,91,49
"Idioma extranjero (033)",1,,1,,,,,,
"Es sordomudo/a (034)",20,4,4,6,4,1,1,,
"Hombres (036)",17051,795,3088,4050,3835,2737,1403,658,485
"Quechua (037)",9321,137,769,1954,2437,1978,1060,553,433
"Aymara (038)",842,7,73,183,241,180,100,38,20
"Ashaninca (039)",8,,2,1,1,,3,1,
"Otra lengua nativa (040)",14,1,1,7,4,1,,,
"Castellano (041)",6857,648,2240,1905,1149,577,240,66,32
"Es sordomudo/a (043)",9,2,3,,3,1,,,
"Mujeres (045)",14505,754,3010,3839,3028,1954,955,495,470
"Quechua (046)",7986,118,798,1885,2063,1471,789,431,431
"Aymara (047)",712,9,76,170,186,144,66,39,22
"Ashaninca (048)",6,1,,1,2,1,1,,
"Otra lengua nativa (049)",7,,2,2,,2,1,,
"Castellano (050)",5782,624,2132,1775,776,336,97,25,17
"Idioma extranjero (051)",1,,1,,,,,,
"Es sordomudo/a (052)",11,2,1,6,1,,1,,
,,,,,,,,,
"RURAL (054)",15827,738,3519,3418,2600,1903,1348,1072,1229
"Quechua (055)",11230,415,2275,2328,1923,1496,1047,804,942
"Aymara (056)",2885,121,674,574,400,322,264,255,275
"Ashaninca (057)",1,,1,,,,,,
"Otra lengua nativa (058)",3,,1,2,,,,,
"Castellano (059)",1689,200,562,512,276,81,34,13,11
"Es sordomudo/a (061)",19,2,6,2,1,4,3,,1
"Hombres (063)",8227,371,1815,1800,1423,1012,692,537,577
"Quechua (064)",5726,192,1141,1195,1023,790,535,401,449
"Aymara (065)",1457,64,352,302,209,160,128,125,117
"Ashaninca (066)",1,,1,,,,,,
"Otra lengua nativa (067)",1,,,1,,,,,
"Castellano (068)",1027,113,315,302,190,58,28,11,10
"Es sordomudo/a (070)",15,2,6,,1,4,1,,1
"Mujeres (072)",7600,367,1704,1618,1177,891,656,535,652
"Quechua (073)",5504,223,1134,1133,900,706,512,403,493
"Aymara (074)",1428,57,322,272,191,162,136,130,158
"Otra lengua nativa (076)",2,,1,1,,,,,
"Castellano (077)",662,87,247,210,86,23,6,2,1
"Es sordomudo/a (079)",4,,,2,,,2,,
