"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TAMBOPATA (000)",78523,13042,13702,3367,48606
"Menos de 1 año (001)",1808,788,253,55,713
"De 1 a 14 años (002)",23568,8056,3933,805,10819
"De 15 a 29 años (003)",24394,2548,2834,986,18056
"De 30 a 44 años (004)",16899,963,3856,797,11358
"De 45 a 64 años (005)",9673,499,2407,600,6205
"De 65 y mas años (006)",2181,188,419,124,1455
"Hombres (008)",41431,6153,7305,2031,26056
"Menos de 1 año (009)",912,381,117,23,392
"De 1 a 14 años (010)",11980,4143,2034,386,5435
"De 15 a 29 años (011)",12244,905,1428,634,9293
"De 30 a 44 años (012)",9092,360,2013,521,6243
"De 45 a 64 años (013)",5893,264,1471,395,3793
"De 65 y mas años (014)",1310,100,242,72,900
"Mujeres (016)",37092,6889,6397,1336,22550
"Menos de 1 año (017)",896,407,136,32,321
"De 1 a 14 años (018)",11588,3913,1899,419,5384
"De 15 a 29 años (019)",12150,1643,1406,352,8763
"De 30 a 44 años (020)",7807,603,1843,276,5115
"De 45 a 64 años (021)",3780,235,936,205,2412
"De 65 y mas años (022)",871,88,177,52,555
,,,,,
"URBANA (024)",65444,10247,12587,3085,39697
"Menos de 1 año (025)",1514,640,240,49,585
"De 1 a 14 años (026)",19887,6179,3783,757,9211
"De 15 a 29 años (027)",20375,2098,2557,886,14857
"De 30 a 44 años (028)",14130,791,3488,724,9195
"De 45 a 64 años (029)",7932,406,2158,559,4843
"De 65 y mas años (030)",1606,133,361,110,1006
"Hombres (032)",33713,4747,6488,1857,20717
"Menos de 1 año (033)",760,310,110,20,320
"De 1 a 14 años (034)",10146,3201,1946,366,4649
"De 15 a 29 años (035)",9887,691,1231,567,7411
"De 30 a 44 años (036)",7318,277,1721,476,4882
"De 45 a 64 años (037)",4696,204,1274,364,2880
"De 65 y mas años (038)",906,64,206,64,575
"Mujeres (040)",31731,5500,6099,1228,18980
"Menos de 1 año (041)",754,330,130,29,265
"De 1 a 14 años (042)",9741,2978,1837,391,4562
"De 15 a 29 años (043)",10488,1407,1326,319,7446
"De 30 a 44 años (044)",6812,514,1767,248,4313
"De 45 a 64 años (045)",3236,202,884,195,1963
"De 65 y mas años (046)",700,69,155,46,431
,,,,,
"RURAL (048)",13079,2795,1115,282,8909
"Menos de 1 año (049)",294,148,13,6,128
"De 1 a 14 años (050)",3681,1877,150,48,1608
"De 15 a 29 años (051)",4019,450,277,100,3199
"De 30 a 44 años (052)",2769,172,368,73,2163
"De 45 a 64 años (053)",1741,93,249,41,1362
"De 65 y mas años (054)",575,55,58,14,449
"Hombres (056)",7718,1406,817,174,5339
"Menos de 1 año (057)",152,71,7,3,72
"De 1 a 14 años (058)",1834,942,88,20,786
"De 15 a 29 años (059)",2357,214,197,67,1882
"De 30 a 44 años (060)",1774,83,292,45,1361
"De 45 a 64 años (061)",1197,60,197,31,913
"De 65 y mas años (062)",404,36,36,8,325
"Mujeres (064)",5361,1389,298,108,3570
"Menos de 1 año (065)",142,77,6,3,56
"De 1 a 14 años (066)",1847,935,62,28,822
"De 15 a 29 años (067)",1662,236,80,33,1317
"De 30 a 44 años (068)",995,89,76,28,802
"De 45 a 64 años (069)",544,33,52,10,449
"De 65 y mas años (070)",171,19,22,6,124
