"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia UTCUBAMBA (000)",25699,597,12522,7446,1935,662,300,76,11,,2150
"Catolica (001)",19048,452,9181,5528,1476,510,233,55,11,,1602
"Cristiana / Evangelica (002)",3900,83,1934,1118,272,81,49,15,,,348
"Otra (003)",1591,34,778,489,125,48,14,5,,,98
"Ninguna (004)",1160,28,629,311,62,23,4,1,,,102
,,,,,,,,,,,
"URBANA (006)",11674,234,5028,3497,1099,410,198,47,8,,1153
"Catolica (007)",8623,180,3628,2571,858,321,147,34,8,,876
"Cristiana / Evangelica (008)",1836,28,850,534,152,47,38,10,,,177
"Otra (009)",747,12,319,256,66,33,11,3,,,47
"Ninguna (010)",468,14,231,136,23,9,2,,,,53
,,,,,,,,,,,
"RURAL (012)",14025,363,7494,3949,836,252,102,29,3,,997
"Catolica (013)",10425,272,5553,2957,618,189,86,21,3,,726
"Cristiana / Evangelica (014)",2064,55,1084,584,120,34,11,5,,,171
"Otra (015)",844,22,459,233,59,15,3,2,,,51
"Ninguna (016)",692,14,398,175,39,14,2,1,,,49
