"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CAYLLOMA (000)",32664,4783,9301,8126,10454
"Asiste actualmente (001)",21634,1931,8869,7460,3374
"No asiste (002)",11030,2852,432,666,7080
"Hombres (004)",16763,2473,4818,4206,5266
"Asiste actualmente (005)",11314,1025,4601,3866,1822
"No asiste (006)",5449,1448,217,340,3444
"Mujeres (008)",15901,2310,4483,3920,5188
"Asiste actualmente (009)",10320,906,4268,3594,1552
"No asiste (010)",5581,1404,215,326,3636
,,,,,
"URBANA (012)",22696,3164,6526,5918,7088
"Asiste actualmente (013)",15575,1375,6289,5550,2361
"No asiste (014)",7121,1789,237,368,4727
"Hombres (016)",11474,1616,3369,3008,3481
"Asiste actualmente (017)",8030,720,3256,2825,1229
"No asiste (018)",3444,896,113,183,2252
"Mujeres (020)",11222,1548,3157,2910,3607
"Asiste actualmente (021)",7545,655,3033,2725,1132
"No asiste (022)",3677,893,124,185,2475
,,,,,
"RURAL (024)",9968,1619,2775,2208,3366
"Asiste actualmente (025)",6059,556,2580,1910,1013
"No asiste (026)",3909,1063,195,298,2353
"Hombres (028)",5289,857,1449,1198,1785
"Asiste actualmente (029)",3284,305,1345,1041,593
"No asiste (030)",2005,552,104,157,1192
"Mujeres (032)",4679,762,1326,1010,1581
"Asiste actualmente (033)",2775,251,1235,869,420
"No asiste (034)",1904,511,91,141,1161
