"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ICA (000)",303050,23319,90019,22015,169258
"Sin Nivel (001)",18440,3107,5068,813,9519
"Educación Inicial (002)",7565,1532,2164,392,3516
"Primaria (003)",70749,8608,21134,4106,37182
"Secundaria (004)",114151,7539,28933,8198,69803
"Sup. no Univ. Incompleta (005)",16320,605,3446,1229,11095
"Sup. no Univ. Completa (006)",22511,689,8337,2152,11516
"Sup. Univ. Incompleta (007)",19012,456,4006,1578,13085
"Sup. Univ. Completa (008)",34302,783,16931,3547,13542
"Hombres (010)",147802,10744,43438,11711,82794
"Sin Nivel (011)",8081,1533,2320,384,3882
"Educación Inicial (012)",3880,781,1120,197,1804
"Primaria (013)",33342,4228,10222,1990,17049
"Secundaria (014)",58655,3281,14588,4551,36425
"Sup. no Univ. Incompleta (015)",7654,185,1668,679,5158
"Sup. no Univ. Completa (016)",8968,189,3183,1047,4637
"Sup. Univ. Incompleta (017)",10044,194,2073,890,6966
"Sup. Univ. Completa (018)",17178,353,8264,1973,6873
"Mujeres (020)",155248,12575,46581,10304,86464
"Sin Nivel (021)",10359,1574,2748,429,5637
"Educación Inicial (022)",3685,751,1044,195,1712
"Primaria (023)",37407,4380,10912,2116,20133
"Secundaria (024)",55496,4258,14345,3647,33378
"Sup. no Univ. Incompleta (025)",8666,420,1778,550,5937
"Sup. no Univ. Completa (026)",13543,500,5154,1105,6879
"Sup. Univ. Incompleta (027)",8968,262,1933,688,6119
"Sup. Univ. Completa (028)",17124,430,8667,1574,6669
,,,,,
"URBANA (030)",277278,20852,81870,20651,155405
"Sin Nivel (031)",16370,2767,4438,765,8463
"Educación Inicial (032)",7066,1391,2012,381,3320
"Primaria (033)",62758,7523,18565,3798,33125
"Secundaria (034)",103120,6755,25558,7509,63601
"Sup. no Univ. Incompleta (035)",15314,569,3195,1170,10433
"Sup. no Univ. Completa (036)",21209,661,7823,2043,10862
"Sup. Univ. Incompleta (037)",18263,431,3848,1535,12561
"Sup. Univ. Completa (038)",33178,755,16431,3450,13040
"Hombres (040)",134573,9557,39014,10950,75898
"Sin Nivel (041)",7244,1366,2045,361,3507
"Educación Inicial (042)",3608,699,1040,192,1698
"Primaria (043)",29404,3706,8870,1829,15129
"Secundaria (044)",52579,2910,12622,4148,33076
"Sup. no Univ. Incompleta (045)",7199,174,1546,649,4866
"Sup. no Univ. Completa (046)",8361,177,2933,992,4345
"Sup. Univ. Incompleta (047)",9620,184,1978,864,6672
"Sup. Univ. Completa (048)",16558,341,7980,1915,6605
"Mujeres (050)",142705,11295,42856,9701,79507
"Sin Nivel (051)",9126,1401,2393,404,4956
"Educación Inicial (052)",3458,692,972,189,1622
"Primaria (053)",33354,3817,9695,1969,17996
"Secundaria (054)",50541,3845,12936,3361,30525
"Sup. no Univ. Incompleta (055)",8115,395,1649,521,5567
"Sup. no Univ. Completa (056)",12848,484,4890,1051,6517
"Sup. Univ. Incompleta (057)",8643,247,1870,671,5889
"Sup. Univ. Completa (058)",16620,414,8451,1535,6435
,,,,,
"RURAL (060)",25772,2467,8149,1364,13853
"Sin Nivel (061)",2070,340,630,48,1056
"Educación Inicial (062)",499,141,152,11,196
"Primaria (063)",7991,1085,2569,308,4057
"Secundaria (064)",11031,784,3375,689,6202
"Sup. no Univ. Incompleta (065)",1006,36,251,59,662
"Sup. no Univ. Completa (066)",1302,28,514,109,654
"Sup. Univ. Incompleta (067)",749,25,158,43,524
"Sup. Univ. Completa (068)",1124,28,500,97,502
"Hombres (070)",13229,1187,4424,761,6896
"Sin Nivel (071)",837,167,275,23,375
"Educación Inicial (072)",272,82,80,5,106
"Primaria (073)",3938,522,1352,161,1920
"Secundaria (074)",6076,371,1966,403,3349
"Sup. no Univ. Incompleta (075)",455,11,122,30,292
"Sup. no Univ. Completa (076)",607,12,250,55,292
"Sup. Univ. Incompleta (077)",424,10,95,26,294
"Sup. Univ. Completa (078)",620,12,284,58,268
"Mujeres (080)",12543,1280,3725,603,6957
"Sin Nivel (081)",1233,173,355,25,681
"Educación Inicial (082)",227,59,72,6,90
"Primaria (083)",4053,563,1217,147,2137
"Secundaria (084)",4955,413,1409,286,2853
"Sup. no Univ. Incompleta (085)",551,25,129,29,370
"Sup. no Univ. Completa (086)",695,16,264,54,362
"Sup. Univ. Incompleta (087)",325,15,63,17,230
"Sup. Univ. Completa (088)",504,16,216,39,234
