"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CORONGO (000)",7358,1760,1918,1520,1332,828
"Sin nivel (001)",849,26,46,143,261,373
"Educación inicial (002)",116,111,3,2,,
"Primaria (003)",3637,1351,540,678,730,338
"Secundaria (004)",1975,272,1126,343,176,58
"Superior no univ. incompleta (005)",197,,95,63,33,6
"Superior no univ. completa (006)",245,,41,121,65,18
"Superior univ. incompleta (007)",111,,38,47,20,6
"Superior univ. completa (008)",228,,29,123,47,29
"PEA (010)",2582,23,715,884,711,249
"Sin nivel (011)",200,2,8,52,70,68
"Educación inicial (012)",4,2,1,1,,
"Primaria (013)",1064,15,211,310,397,131
"Secundaria (014)",772,4,382,237,118,31
"Superior no univ. incompleta (015)",121,,48,52,19,2
"Superior no univ. completa (016)",191,,32,96,54,9
"Superior univ. incompleta (017)",68,,14,38,15,1
"Superior univ. completa (018)",162,,19,98,38,7
"Ocupada (020)",2510,23,676,865,701,245
"Sin nivel (021)",197,2,8,50,70,67
"Educación inicial (022)",4,2,1,1,,
"Primaria (023)",1039,15,199,302,394,129
"Secundaria (024)",736,4,359,228,114,31
"Superior no univ. incompleta (025)",119,,46,52,19,2
"Superior no univ. completa (026)",186,,31,96,51,8
"Superior univ. incompleta (027)",67,,13,38,15,1
"Superior univ. completa (028)",162,,19,98,38,7
"Desocupada (030)",72,,39,19,10,4
"Sin nivel (031)",3,,,2,,1
"Primaria (033)",25,,12,8,3,2
"Secundaria (034)",36,,23,9,4,
