"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CASMA (000)",15974,11165,1651,1513,1645
"Empleado (001)",2963,1134,415,576,838
"Obrero (002)",5625,3070,874,893,788
"Trabajador independiente (003)",6189,5907,282,,
"Empleador o patrono (004)",336,258,31,31,16
"Trabajador familiar no remunerado (005)",635,570,49,13,3
"Trabajador del hogar (006)",226,226,,,
"De 06 a 14 años (008)",135,105,17,10,3
"Empleado (009)",10,9,1,,
"Obrero (010)",46,26,9,8,3
"Trabajador independiente (011)",26,25,1,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",46,38,6,2,
"Trabajador del hogar (014)",6,6,,,
"De 15 a 29 años (016)",5216,3458,626,553,579
"Empleado (017)",985,513,142,131,199
"Obrero (018)",2367,1205,378,409,375
"Trabajador independiente (019)",1455,1377,78,,
"Empleador o patrono (020)",45,32,4,5,4
"Trabajador familiar no remunerado (021)",272,239,24,8,1
"Trabajador del hogar (022)",92,92,,,
"De 30 a 44 años (024)",5764,3814,607,640,703
"Empleado (025)",1300,400,189,298,413
"Obrero (026)",1891,996,291,322,282
"Trabajador independiente (027)",2189,2090,99,,
"Empleador o patrono (028)",120,75,18,20,7
"Trabajador familiar no remunerado (029)",179,168,10,,1
"Trabajador del hogar (030)",85,85,,,
"De 45 a 64 años (032)",3915,2941,355,283,336
"Empleado (033)",617,186,78,141,212
"Obrero (034)",1108,676,177,135,120
"Trabajador independiente (035)",1932,1846,86,,
"Empleador o patrono (036)",114,97,9,5,3
"Trabajador familiar no remunerado (037)",103,95,5,2,1
"Trabajador del hogar (038)",41,41,,,
"De 65 y más años (040)",944,847,46,27,24
"Empleado (041)",51,26,5,6,14
"Obrero (042)",213,167,19,19,8
"Trabajador independiente (043)",587,569,18,,
"Empleador o patrono (044)",56,53,,1,2
"Trabajador familiar no remunerado (045)",35,30,4,1,
"Trabajador del hogar (046)",2,2,,,
,,,,,
"URBANA (048)",11527,7687,1205,1189,1446
"Empleado (049)",2773,1056,387,542,788
"Obrero (050)",3298,1491,552,612,643
"Trabajador independiente (051)",4637,4430,207,,
"Empleador o patrono (052)",236,167,26,30,13
"Trabajador familiar no remunerado (053)",376,336,33,5,2
"Trabajador del hogar (054)",207,207,,,
