"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia LAMBAYEQUE (000)",242045,12012,60535,50104,36040,29434,22934,14141,16845
"Quechua (001)",1054,15,144,176,151,171,140,96,161
"Aymara (002)",57,5,15,13,6,8,3,3,4
"Ashaninca (003)",28,1,8,9,2,4,1,2,1
"Otra lengua nativa (004)",69,,8,37,15,1,5,1,2
"Castellano (005)",240503,11985,60264,49782,35816,29208,22758,14027,16663
"Idioma extranjero (006)",8,,,3,,3,2,,
"Es sordomudo/a (007)",326,6,96,84,50,39,25,12,14
"Hombres (009)",119979,6045,30952,25222,17014,13840,11158,7109,8639
"Quechua (010)",473,8,65,90,63,79,58,42,68
"Aymara (011)",24,2,9,4,2,3,1,2,1
"Ashaninca (012)",11,1,4,3,1,1,,,1
"Otra lengua nativa (013)",36,,4,19,11,1,,,1
"Castellano (014)",119239,6033,30816,25049,16908,13732,11083,7058,8560
"Idioma extranjero (015)",5,,,1,,2,2,,
"Es sordomudo/a (016)",191,1,54,56,29,22,14,7,8
"Mujeres (018)",122066,5967,29583,24882,19026,15594,11776,7032,8206
"Quechua (019)",581,7,79,86,88,92,82,54,93
"Aymara (020)",33,3,6,9,4,5,2,1,3
"Ashaninca (021)",17,,4,6,1,3,1,2,
"Otra lengua nativa (022)",33,,4,18,4,,5,1,1
"Castellano (023)",121264,5952,29448,24733,18908,15476,11675,6969,8103
"Idioma extranjero (024)",3,,,2,,1,,,
"Es sordomudo/a (025)",135,5,42,28,21,17,11,5,6
,,,,,,,,,
"URBANA (027)",117884,5287,26471,24647,18326,15339,12228,7252,8334
"Quechua (028)",441,4,68,111,64,57,53,31,53
"Aymara (029)",41,2,9,12,5,7,1,3,2
"Ashaninca (030)",21,1,4,9,,3,1,2,1
"Otra lengua nativa (031)",60,,7,32,13,1,5,1,1
"Castellano (032)",117200,5279,26353,24452,18226,15253,12153,7211,8273
"Idioma extranjero (033)",4,,,2,,,2,,
"Es sordomudo/a (034)",117,1,30,29,18,18,13,4,4
"Hombres (036)",56836,2663,13457,12065,8409,6846,5801,3489,4106
"Quechua (037)",222,3,29,61,29,31,27,15,27
"Aymara (038)",18,1,6,3,2,3,,2,1
"Ashaninca (039)",9,1,3,3,,1,,,1
"Otra lengua nativa (040)",33,,3,17,11,1,,,1
"Castellano (041)",56470,2657,13395,11959,8357,6799,5762,3468,4073
"Idioma extranjero (042)",3,,,1,,,2,,
"Es sordomudo/a (043)",81,1,21,21,10,11,10,4,3
"Mujeres (045)",61048,2624,13014,12582,9917,8493,6427,3763,4228
"Quechua (046)",219,1,39,50,35,26,26,16,26
"Aymara (047)",23,1,3,9,3,4,1,1,1
"Ashaninca (048)",12,,1,6,,2,1,2,
"Otra lengua nativa (049)",27,,4,15,2,,5,1,
"Castellano (050)",60730,2622,12958,12493,9869,8454,6391,3743,4200
"Idioma extranjero (051)",1,,,1,,,,,
"Es sordomudo/a (052)",36,,9,8,8,7,3,,1
,,,,,,,,,
"RURAL (054)",124161,6725,34064,25457,17714,14095,10706,6889,8511
"Quechua (055)",613,11,76,65,87,114,87,65,108
"Aymara (056)",16,3,6,1,1,1,2,,2
"Ashaninca (057)",7,,4,,2,1,,,
"Otra lengua nativa (058)",9,,1,5,2,,,,1
"Castellano (059)",123303,6706,33911,25330,17590,13955,10605,6816,8390
"Idioma extranjero (060)",4,,,1,,3,,,
"Es sordomudo/a (061)",209,5,66,55,32,21,12,8,10
"Hombres (063)",63143,3382,17495,13157,8605,6994,5357,3620,4533
"Quechua (064)",251,5,36,29,34,48,31,27,41
"Aymara (065)",6,1,3,1,,,1,,
"Ashaninca (066)",2,,1,,1,,,,
"Otra lengua nativa (067)",3,,1,2,,,,,
"Castellano (068)",62769,3376,17421,13090,8551,6933,5321,3590,4487
"Idioma extranjero (069)",2,,,,,2,,,
"Es sordomudo/a (070)",110,,33,35,19,11,4,3,5
"Mujeres (072)",61018,3343,16569,12300,9109,7101,5349,3269,3978
"Quechua (073)",362,6,40,36,53,66,56,38,67
"Aymara (074)",10,2,3,,1,1,1,,2
"Ashaninca (075)",5,,3,,1,1,,,
"Otra lengua nativa (076)",6,,,3,2,,,,1
"Castellano (077)",60534,3330,16490,12240,9039,7022,5284,3226,3903
"Idioma extranjero (078)",2,,,1,,1,,,
"Es sordomudo/a (079)",99,5,33,20,13,10,8,5,5
