"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CONDESUYOS (000)",8683,73,2792,3179,2016,623
"Agric., ganadería, caza y silvicultura (001)",2724,40,537,710,930,507
"Pesca (002)",136,2,49,56,27,2
"Explotación de minas y canteras (003)",3233,4,1343,1410,465,11
"Industrias manufactureras (004)",154,3,38,60,45,8
"Suministro de electricidad, gas y agua (005)",6,,1,2,2,1
"Construcción (006)",268,2,109,100,52,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",493,3,166,184,112,28
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,,11,3,2,1
"Comercio al por mayor (009)",22,,8,10,4,
"Comercio al por menor (010)",454,3,147,171,106,27
"Hoteles y restaurantes (011)",203,10,66,71,46,10
"Trans., almac. y comunicaciones (012)",154,,58,68,26,2
"Intermediación financiera (013)",3,,,2,1,
"Activid.inmobil., empres. y alquileres (014)",91,,31,39,20,1
"Admin.pub. y defensa; p. segur.soc afil (015)",215,,66,93,54,2
"Enseñanza (016)",340,,55,182,103,
"Servicios sociales y de salud (017)",81,,31,38,12,
"Otras activ. serv.comun.soc y personales (018)",118,1,48,41,24,4
"Hogares privados con servicio doméstico (019)",52,5,25,16,5,1
"Actividad economica no especificada (021)",137,,50,34,38,15
"Desocupado (022)",275,3,119,73,54,26
"Hombres (023)",6402,47,2136,2397,1406,416
"Agric., ganadería, caza y silvicultura (024)",1728,27,336,442,581,342
"Pesca (025)",132,2,47,55,26,2
"Explotación de minas y canteras (026)",3092,4,1277,1361,440,10
"Industrias manufactureras (027)",83,3,25,27,23,5
"Suministro de electricidad, gas y agua (028)",6,,1,2,2,1
"Construcción (029)",250,2,96,96,51,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",173,2,47,55,56,13
"Venta, mant.y rep. veh.autom.y motoc. (031)",14,,9,3,2,
"Comercio al por mayor (032)",9,,2,5,2,
"Comercio al por menor (033)",150,2,36,47,52,13
"Hoteles y restaurantes (034)",41,2,21,9,8,1
"Trans., almac. y comunicaciones (035)",144,,52,64,26,2
"Intermediación financiera (036)",2,,,1,1,
"Activid.inmobil., empres. y alquileres (037)",76,,26,34,15,1
"Admin.pub. y defensa; p. segur.soc afil (038)",144,,37,64,41,2
"Enseñanza (039)",143,,15,76,52,
"Servicios sociales y de salud (040)",26,,10,12,4,
"Otras activ. serv.comun.soc y personales (041)",67,1,24,22,17,3
