"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia PUERTO INCA (000)",16553,14726,1827
"Hombres (001)",9435,8506,929
"Mujeres (002)",7118,6220,898
"De 18 a 29 años (003)",6305,5161,1144
"Hombres (004)",3447,2827,620
"Mujeres (005)",2858,2334,524
"De 30 a 44 años (006)",5708,5412,296
"Hombres (007)",3225,3084,141
"Mujeres (008)",2483,2328,155
"De 45 a 64 años (009)",3575,3363,212
"Hombres (010)",2176,2072,104
"Mujeres (011)",1399,1291,108
"De 65 y más años (012)",965,790,175
"Hombres (013)",587,523,64
"Mujeres (014)",378,267,111
,,,
"URBANA (015)",3447,3247,200
"Hombres (016)",1830,1732,98
"Mujeres (017)",1617,1515,102
"De 18 a 29 años (018)",1175,1042,133
"Hombres (019)",586,513,73
"Mujeres (020)",589,529,60
"De 30 a 44 años (021)",1279,1260,19
"Hombres (022)",663,654,9
"Mujeres (023)",616,606,10
"De 45 a 64 años (024)",774,753,21
"Hombres (025)",448,441,7
"Mujeres (026)",326,312,14
"De 65 y más años (027)",219,192,27
"Hombres (028)",133,124,9
"Mujeres (029)",86,68,18
,,,
"RURAL (030)",13106,11479,1627
"Hombres (031)",7605,6774,831
"Mujeres (032)",5501,4705,796
"De 18 a 29 años (033)",5130,4119,1011
"Hombres (034)",2861,2314,547
"Mujeres (035)",2269,1805,464
"De 30 a 44 años (036)",4429,4152,277
"Hombres (037)",2562,2430,132
"Mujeres (038)",1867,1722,145
"De 45 a 64 años (039)",2801,2610,191
"Hombres (040)",1728,1631,97
"Mujeres (041)",1073,979,94
"De 65 y más años (042)",746,598,148
"Hombres (043)",454,399,55
"Mujeres (044)",292,199,93
