"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",4571,40,1672,1448,505,150,72,25,2,,657
"Sin Nivel (001)",226,5,100,60,20,8,1,2,,,30
"Educación Inicial (002)",6,,3,,,,,,,,3
"Primaria (003)",1966,24,812,642,200,46,37,13,2,,190
"Secundaria (004)",1494,10,615,474,124,38,15,2,,,216
"Sup. no Univ. Incompleta (005)",213,,55,80,26,8,3,,,,41
"Sup. no Univ. Completa (006)",385,,48,126,79,26,12,4,,,90
"Sup. Univ. Incompleta (007)",100,,25,33,9,5,2,,,,26
"Sup. Univ. Completa (008)",181,1,14,33,47,19,2,4,,,61
,,,,,,,,,,,
"URBANA (010)",3584,30,1335,1119,378,115,56,19,2,,530
"Sin Nivel (011)",156,2,66,45,15,5,1,2,,,20
"Educación Inicial (012)",4,,2,,,,,,,,2
"Primaria (013)",1447,22,628,464,134,30,24,9,2,,134
"Secundaria (014)",1217,5,513,377,92,31,14,2,,,183
"Sup. no Univ. Incompleta (015)",186,,51,68,24,6,1,,,,36
"Sup. no Univ. Completa (016)",325,,42,105,64,22,12,3,,,77
"Sup. Univ. Incompleta (017)",88,,21,30,8,4,2,,,,23
"Sup. Univ. Completa (018)",161,1,12,30,41,17,2,3,,,55
,,,,,,,,,,,
"RURAL (020)",987,10,337,329,127,35,16,6,,,127
"Sin Nivel (021)",70,3,34,15,5,3,,,,,10
"Educación Inicial (022)",2,,1,,,,,,,,1
"Primaria (023)",519,2,184,178,66,16,13,4,,,56
"Secundaria (024)",277,5,102,97,32,7,1,,,,33
"Sup. no Univ. Incompleta (025)",27,,4,12,2,2,2,,,,5
"Sup. no Univ. Completa (026)",60,,6,21,15,4,,1,,,13
"Sup. Univ. Incompleta (027)",12,,4,3,1,1,,,,,3
"Sup. Univ. Completa (028)",20,,2,3,6,2,,1,,,6
