"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PADRE ABAD (000)",24262,3591,6755,6012,7904
"Asiste actualmente (001)",13590,1260,6087,4689,1554
"No asiste (002)",10672,2331,668,1323,6350
"Hombres (004)",12806,1865,3469,3135,4337
"Asiste actualmente (005)",7087,694,3137,2395,861
"No asiste (006)",5719,1171,332,740,3476
"Mujeres (008)",11456,1726,3286,2877,3567
"Asiste actualmente (009)",6503,566,2950,2294,693
"No asiste (010)",4953,1160,336,583,2874
,,,,,
"URBANA (012)",12808,1684,3374,3372,4378
"Asiste actualmente (013)",7741,674,3122,2857,1088
"No asiste (014)",5067,1010,252,515,3290
"Hombres (016)",6499,849,1717,1632,2301
"Asiste actualmente (017)",3894,360,1590,1366,578
"No asiste (018)",2605,489,127,266,1723
"Mujeres (020)",6309,835,1657,1740,2077
"Asiste actualmente (021)",3847,314,1532,1491,510
"No asiste (022)",2462,521,125,249,1567
,,,,,
"RURAL (024)",11454,1907,3381,2640,3526
"Asiste actualmente (025)",5849,586,2965,1832,466
"No asiste (026)",5605,1321,416,808,3060
"Hombres (028)",6307,1016,1752,1503,2036
"Asiste actualmente (029)",3193,334,1547,1029,283
"No asiste (030)",3114,682,205,474,1753
"Mujeres (032)",5147,891,1629,1137,1490
"Asiste actualmente (033)",2656,252,1418,803,183
"No asiste (034)",2491,639,211,334,1307
