"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CHOTA (000)",61443,58289,18084,8062,7396,5564,7448,5031,6704,3154
"Católica (001)",49704,47082,14629,6623,6029,4487,5957,4062,5295,2622
"Cristiana/Evangélica (002)",7568,7206,2159,904,876,700,991,648,928,362
"Otra (003)",2119,2032,631,234,253,205,267,170,272,87
"Ninguna (004)",2052,1969,665,301,238,172,233,151,209,83
,,,,,,,,,,
"URBANA (006)",12959,12132,3752,2066,1979,1349,1417,749,820,827
"Católica (007)",11218,10486,3230,1808,1722,1161,1230,642,693,732
"Cristiana/Evangélica (008)",1203,1138,343,174,191,138,126,78,88,65
"Otra (009)",356,336,119,52,39,37,38,21,30,20
"Ninguna (010)",182,172,60,32,27,13,23,8,9,10
,,,,,,,,,,
"RURAL (012)",48484,46157,14332,5996,5417,4215,6031,4282,5884,2327
"Católica (013)",38486,36596,11399,4815,4307,3326,4727,3420,4602,1890
"Cristiana/Evangélica (014)",6365,6068,1816,730,685,562,865,570,840,297
"Otra (015)",1763,1696,512,182,214,168,229,149,242,67
"Ninguna (016)",1870,1797,605,269,211,159,210,143,200,73
