"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CAJATAMBO (000)",2251,33,817,779,248,82,56,19,3,,214
"Catolica (001)",1642,24,586,564,192,67,35,14,2,,158
"Cristiana / Evangelica (002)",468,6,179,174,42,12,11,3,1,,40
"Otra (003)",80,1,26,26,8,1,6,1,,,11
"Ninguna (004)",61,2,26,15,6,2,4,1,,,5
,,,,,,,,,,,
"URBANA (006)",1433,25,506,495,171,52,40,15,2,,127
"Catolica (007)",1007,18,343,353,132,40,23,11,2,,85
"Cristiana / Evangelica (008)",307,4,123,106,28,9,8,2,,,27
"Otra (009)",71,1,22,24,6,1,6,1,,,10
"Ninguna (010)",48,2,18,12,5,2,3,1,,,5
,,,,,,,,,,,
"RURAL (012)",818,8,311,284,77,30,16,4,1,,87
"Catolica (013)",635,6,243,211,60,27,12,3,,,73
"Cristiana / Evangelica (014)",161,2,56,68,14,3,3,1,1,,13
"Otra (015)",9,,4,2,2,,,,,,1
"Ninguna (016)",13,,8,3,1,,1,,,,
